,DDPG before,DDPG eval,dummy
0,-1249.0695194172486,-135.28784815826356,-1376.8325690795261
1,-972.307484911705,-137.35685709471477,-1321.1997178582214
2,-995.937417962902,-132.3101991317406,-1164.970302084143
3,-1474.532014236083,-371.1592216140082,-1557.7850435018445
4,-1060.338556567424,-261.97096034701354,-942.0877607749974
5,-1774.405897557311,-266.2804264921924,-1168.6939593248428
6,-1259.5005384049853,-401.4276853888838,-1470.4829620111987
7,-1221.0542467480511,-16.6706689821931,-1064.259718082736
8,-1295.3311627033484,-16.36757172319317,-1298.03015919666
9,-1047.9660744403952,-137.27362146881774,-771.4666307303382
10,-1076.5373165623141,-138.8716565475105,-1381.5377803080178
11,-857.350417720095,-139.82872512153287,-1127.8679314561668
12,-991.9133989632957,-265.4366938883893,-1104.8232889802603
13,-1072.0438012703958,-139.9027656082083,-1607.0514619003047
14,-904.1549753983847,-252.83082508373303,-860.5427404709422
15,-1403.9123426765198,-16.242106642180556,-1301.1404276173666
16,-953.1235840861183,-140.44060059508507,-1201.3081419566633
17,-973.6153684304754,-136.0527534685294,-964.9964143132147
18,-918.5644212384393,-256.439758920029,-849.1061637534935
19,-1513.284576199395,-250.89651222429566,-870.4895890574767
20,-1301.5518963516201,-253.84261824637025,-1073.1708913714133
21,-1071.749639485637,-138.00654898821728,-862.8818285227513
22,-1706.0102304582706,-135.60491490727532,-969.7185296041216
23,-996.292905357624,-264.21476821291395,-1052.7372699032155
24,-1746.2042874976028,-502.2039638530883,-1260.5572246312818
25,-885.140534439607,-253.6943497446767,-1423.3835862630167
26,-1052.0469197600053,-264.84109375047,-1422.6471048035216
27,-1563.8561573490329,-256.3186020662621,-1187.586964508355
28,-1040.9544025280331,-142.61848143926136,-986.1958401447503
29,-1068.7825264031271,-384.6584376172047,-1659.466472344925
30,-1260.9835917554992,-627.3638830871998,-1343.8470153092367
31,-1785.270532163847,-390.23428330949093,-1260.6380617014497
32,-1171.1713404203492,-388.7757680597309,-957.8134484953885
33,-1184.45966913928,-142.60471869571995,-1067.4697675483915
34,-1292.8047344783683,-136.3251705635996,-998.201607840502
35,-1690.6791407691323,-133.7174701368761,-805.4076864664274
36,-1178.9508658435186,-138.03072750017856,-1302.0057040475
37,-1523.2403780476996,-343.48643473566057,-1162.8678069943837
38,-1687.8384254046427,-496.37060536724294,-1577.0648493481406
39,-977.577960891163,-248.5974125713134,-1003.1269878607002
40,-1605.4027403475545,-137.98410613691848,-909.3314294012429
41,-1769.8366599820724,-135.9308604616345,-1070.4251434357054
42,-1068.8834452709666,-133.34085462107717,-1068.3388289820523
43,-1876.9010215467533,-363.87297258767967,-1068.319482349976
44,-1345.3882789844906,-263.669486394125,-1384.6073662292144
45,-1484.7126850628306,-255.72337849405397,-1025.2047064108924
46,-1736.9405128419921,-271.0231333810421,-1268.9494629962637
47,-1766.351240486458,-136.7091536118104,-1609.0744894027796
48,-1165.4809379021035,-129.9620650732918,-988.9700192979171
49,-1163.00925822922,-254.82638136466724,-1167.2580246227471
50,-1910.3984699003784,-140.00103024225595,-893.8183665916999
51,-1812.1769975297964,-17.515844719050047,-1518.1829684855447
52,-1757.0751025930467,-17.24871305374461,-1343.3378967860288
53,-740.914614389792,-16.52291321359764,-1185.0299767931106
54,-1382.5276391846048,-136.6365087421554,-892.0641278476234
55,-761.3265291445668,-382.4709947716382,-1314.7748525382854
56,-865.4585228418118,-378.4485982264672,-1259.1953920947121
