,Agent before,Agent eval,dummy
0,-143.6836726051584,-304.5728058334307,-93.51042886555173
1,-98.58122866438562,-130.18728590892914,-98.01330696581206
2,-176.03229763902857,-300.45644582031673,-475.63350403606523
3,-99.85397125382745,-352.2634432565404,-39.612021232483045
4,-109.03184834765581,-264.7556316511047,-114.71698864232549
5,-237.94668910837595,-396.32780311145666,-223.39307918126372
6,-300.8349733988863,-310.826443103829,-362.0182761162587
7,-293.04335733070627,-302.4669160696218,-364.0127209515259
8,-420.17798164608774,-258.3697626909477,-156.35518903266845
9,-113.50264862620898,-278.36881732733804,-406.75894227083126
10,-74.41286084483966,-75.8610139525419,-188.81143940768246
11,-99.65891967764921,-128.0691042590191,-411.09725867097546
12,-192.54976416671002,-273.47492815282976,-66.6395065963262
13,-296.3907347145334,-290.99741556358003,-429.7033386064774
14,-347.1643226810405,-106.85520607777696,-78.94012723055081
15,-32.764367064910786,-319.2591974975287,-261.22237361259386
16,-348.80673766206144,-325.1705141944392,-148.91211021279204
17,-46.70036003554502,-172.52751998628972,-30.0737710403467
18,-118.53808762713787,-344.82560690903426,-202.38675758232904
19,-206.77743135793605,-287.0100561304582,-169.54755012612605
20,-162.95060203415642,-255.90039831201545,-321.71561253532025
21,-103.26489408942436,-187.64304683879692,-174.02021750237398
22,-118.33944091415067,-219.86937264908943,-412.2843790571666
23,-428.4563896487515,-119.53349776012467,-89.73952616888494
24,-141.27021724434204,-174.69387200637024,-367.04482015820395
25,-78.73667808262988,-267.7281276457143,-330.0660622096357
26,-240.52305173174838,-304.41952242401385,-31.62411657946994
27,-134.9201836839664,-166.98709997163874,-243.57412670730446
28,-177.97869911111638,-187.64102722281743,-320.0728367432149
29,-79.96712432647841,-182.8903428661717,-27.664788326362284
30,-17.944869471374048,-164.82196281551688,-59.730468200763255
31,-91.94766131612388,-304.0279270192364,-380.47284131625435
32,-283.6323748265266,-302.79431059413787,-28.639470421266708
33,-318.90021402910764,-357.64582931797327,-73.8624338961437
34,-75.55791826327442,-271.61904468943993,-401.1870135163301
35,-122.71136321539151,-252.50036337897967,-83.99718290936103
36,-88.68289851882099,-232.89699180919743,-396.91019882701596
37,-298.0464084787578,-342.69048750257747,-427.8301443392474
38,-78.4690357833055,-210.92829064210716,-503.26775866848726
39,-60.36512975721943,-149.81972449161378,-52.50083804666293
40,-331.97876696118436,-116.16540420015572,-412.896629309077
41,-217.10905366227388,-178.38017146086707,-256.84420561497734
42,-240.60480562192933,-316.5179389639766,-279.29860194267155
43,-338.7782100718205,-233.80472227686775,-41.55124838848046
44,-104.12078394396826,-160.92050405269234,-294.18080843508494
45,-333.52351810217743,-359.3633174786819,-161.11520958475725
46,-48.454993415021875,-120.9954966932567,-164.63078507768319
47,-138.660326878895,-228.54541712738532,-183.75310448218585
48,-251.583711283781,-302.873789959977,-175.1752415070467
49,-249.91334989146958,-313.29983826985494,-132.7209746308278
50,-59.47903699948863,-88.97619862696,-147.83057936479986
