,TD3 before,TD3 eval,dummy
0,-1570.6349318095145,-364.26788147144305,-1602.4368096616236
1,-1130.7014420698392,-115.005442957106,-1317.7793726543562
2,-1619.2228139032086,-137.8818208976565,-1644.5815173170158
3,-1554.7478862067246,-131.8109889114604,-1051.384342705155
4,-1372.6536267090185,-136.7290042888996,-1755.7272184118397
5,-1337.170770091283,-401.8208460522174,-1508.4365555788024
6,-1686.4025733170438,-126.23887503689178,-956.1525383626727
7,-1373.3923406439294,-139.03926727774498,-1647.5976366670807
8,-1406.0043603858014,-134.20572747944476,-1366.1707537893435
9,-1483.5803838266438,-250.29407487988877,-1232.792976606572
10,-1135.9893778450673,-127.14307837829158,-1276.936809967849
11,-1454.9849971297751,-138.46898372941666,-1107.057438676615
12,-1646.7401082410051,-230.33549551931753,-1248.2460309001235
13,-1027.408617565404,-119.67840967347412,-1642.5168883712474
14,-1374.9903422711345,-137.35485840631225,-1779.2522602845274
15,-1261.7736358692405,-2.102189868604891,-996.9110460680105
16,-1164.4377925353438,-259.9339592389231,-1001.2960927163064
17,-1500.5604164220654,-130.94975099545994,-1324.9217725023996
18,-1256.2786384809892,-374.9230089221566,-902.0050014626474
19,-1056.9474178442135,-267.8259909305103,-1649.1635244981064
20,-1108.6990621623556,-378.78963570192474,-1013.7309661815465
21,-1507.761492862408,-133.67782600044498,-1817.7255028409827
22,-1509.4202109559828,-127.48907860046839,-894.4610029567316
23,-1792.2277774529334,-141.18426223206404,-1353.6030738746413
24,-1288.2831474576706,-274.32515543672264,-1220.7894408459892
25,-1201.6203453350727,-285.5918764958961,-1316.5565195893196
26,-1238.6539036606737,-135.67233612932455,-1102.8589369936903
27,-1849.5215679929597,-280.0623783617164,-880.7204941364764
28,-1499.024840773267,-134.87961157164034,-1258.7116936915977
29,-1270.2354532137451,-269.9429511685678,-1275.510642913408
30,-1542.5830576306403,-125.664366765902,-1276.3973630843811
31,-1784.4610339173857,-13.880768059501872,-1188.69326790754
32,-1172.0458010523362,-255.24316921811317,-860.496554135547
