,AC before,AC eval,dummy,Optimization agent
0,-450.0,299378.3590453267,-100.0,591477.8271089196
1,-709.7489995956421,348833.7818941474,-300.0,472244.7718783021
2,-710.0,-535.3023724555969,-158.0,383844.6517201662
3,-600.0,408575.8057860732,-300.0,611216.0484728813
4,-225.0,-233.8669055700302,-100.0,521603.08631300926
5,-600.0,369328.9050755501,-600.0,613645.6341143847
6,-29.84739875793457,372190.03375840187,-100.0,606172.6957591176
7,-450.0,362176.03900915384,-585.0,570296.1603586674
8,-600.0,386.85348331928253,-150.0,520201.7626491189
9,-600.0,-233.8669055700302,-352.0795646905899,438486.205011487
10,-390.0,-330.4380041360855,-600.0,295377.1223054528
11,-600.0,217472.99843007326,-578.2663378715515,718363.849504292
12,-300.0,295.8614986538887,-600.0,503181.0622648001
13,-261.0,-274.18450927734375,-261.0,485217.45658385754
14,-247.0,292509.2116446495,-766.0,638604.2116098404
15,-437.7489995956421,-247.0,-247.0,590749.7937973738
16,-300.0,-235.30237245559692,-217.1385407447815,422530.7785281539
17,-710.0,361550.9264625907,-223.3949385881424,404776.7787002921
18,-717.6807153224945,258783.29926890135,-258.73764300346375,505310.8425229788
19,-710.0,1901.8223232626915,-428.287348985672,315555.21121507883
20,-390.0,291129.6118068695,-600.0,550351.9280429482
21,-710.0,-233.8669055700302,-710.0,474035.4003158808
22,-710.0,-279.8669055700302,-300.0,405923.71233552694
23,-527.7489995956421,376846.1021142006,-261.0,369254.14370423555
24,-600.0,309687.19261431694,-150.0,345052.3483631611
25,-247.0,279029.8046081662,-600.0,583461.4775825143
26,-247.0,389643.96383047104,-236.0,310331.72484105825
27,-225.0,179632.36346250772,-251.0,355075.57516515255
28,-585.0,354175.6043827534,-473.4078975915909,471601.7879692316
29,-710.0,261739.60367882252,-710.0,338206.0479298234
30,-710.0,443850.9355029464,-150.0,284660.3095076084
31,-710.0,286232.9279770851,-208.0,475702.7107048631
32,-187.0,-196.83728742599487,-600.0,411303.31104671955
33,-247.0,362536.206396997,-466.0,465964.4928968549
34,-600.0,264763.67540967464,-668.0,473271.6765104532
35,-300.0,246716.96379345655,-238.7489995956421,511351.5595241785
36,-247.0,7622.420193016529,-217.0,399834.8075120449
37,-250.0,423559.67181771994,-100.0,446069.70640677214
38,-600.0,317514.48994493484,-275.14850640296936,451499.776032567
39,-600.0,385584.6832751632,-300.0,540097.7899510264
40,-247.0,245984.58823549747,-225.0,360817.3106151819
41,-261.0,472452.3037443757,-600.0,364166.6465033293
42,-300.0,272371.98577708006,-448.165812253952,551987.8937808871
43,-225.0,370199.52126061916,-600.0,555635.2486551404
44,-600.0,534199.9400088191,-265.9142130613327,460214.8310686946
45,-710.0,298301.4126139879,-600.0,384403.9844005704
46,-158.0,295366.4570401907,-466.0,342007.6741247177
47,-600.0,345611.76997989416,-261.0,515043.71528559923
48,-308.49191468954086,260750.12233036757,-360.0,454228.18237644434
49,-261.0,266983.53858816624,-145.287348985672,470108.09027296305
50,-300.0,282429.8083155751,-225.0,486892.18913435936
51,-247.0,278729.16055238247,-300.0,195053.64918398857
52,-766.0,182557.43754512072,-501.5918781757355,335839.65771985054
53,-710.0,-247.0,-100.0,609734.3712433577
54,-247.0,257753.73003023863,-300.0,519437.1653959751
55,-187.0,-247.0,-270.0,304296.12349897623
56,-455.66799318790436,201162.47282636166,-341.76315903663635,575525.4956241846
57,-600.0,357398.01781386137,-245.39950680732727,417563.39988482
58,-585.0,236307.65088570118,-492.8539055585861,403051.7444805503
59,-247.0,1969.6157702207565,-300.0,373965.97505509853
60,-804.7605293989182,513810.24288117886,-250.0,379568.59818822145
61,-225.0,320207.14271849394,-526.8875403404236,552576.1516979933
62,-710.0,343508.401894629,-266.0,532965.0030352473
63,-130.93442177772522,337208.30317121744,-349.0,369923.3157633543
64,-300.0,360912.5044556856,-526.33154129982,678563.9647824764
65,-450.0,-247.0,-225.0,471367.69611662626
66,-635.0924078822136,270035.98111474514,-250.0,305690.35666936636
67,-742.4156222343445,228924.95656585693,-150.0,560550.9643114805
68,-247.0,388525.2274630666,-300.0,572901.3657774329
69,-600.0,413307.917765677,-338.7489995956421,202894.27539730072
70,-450.0,369426.8974171877,-300.0,412523.507435441
71,-175.383131980896,257689.24255412817,-666.0,439420.9798615575
72,-600.0,411733.22122097015,-471.51330399513245,319654.2257357836
73,-184.7489995956421,259962.45265942812,-225.0,464816.5463795662
74,-600.0,-247.0,-249.383131980896,429872.9333666563
75,-225.0,353488.60778081417,-338.4049310684204,454738.12544208765
76,-600.0,460162.5168970227,-168.0,430952.5484714508
77,-349.14096558094025,547813.7817451358,-216.0,524158.8613642454
78,-375.0,-233.8669055700302,-327.9838293790817,554236.1897836328
79,-100.0,502362.91976994276,-252.191565990448,545377.7922531366
80,-247.0,535345.9417405725,-600.0,470990.7592622638
81,-710.0,227438.7974344492,-300.0,341985.2304799557
82,-247.0,401648.78785300255,-100.0,468855.84213906527
83,-710.0,272321.2092116475,220.320802628994,453428.69037526846
84,-787.7489995956421,-134.47891497612,-160.6413699388504,469411.6106300354
85,-261.0,238630.53396189213,-100.0,543079.4661716819
86,-300.0,329610.0208082199,-441.4325578212738,392445.7327539325
87,-247.0,298019.8391676545,-476.31639182567596,535040.4939466715
88,-710.0,353802.6628317237,-585.0,623241.7755719423
89,-450.0,411858.23105597496,-242.45427250862122,279723.8604018092
90,-710.0,247501.6260740161,-100.0,521126.88458657265
91,-710.0,275991.7953364849,-158.0,423809.4356293678
92,-710.0,316241.4198798537,-278.2663378715515,509917.03319746256
93,-600.0,194029.11993134022,-150.0,401214.1824026704
94,-710.0,-196.83728742599487,-202.53491497039795,349362.10831719637
95,-733.3949385881424,475364.57467490435,-100.0,423668.32613682747
96,-787.7489995956421,233528.9980122447,-85.97684133052826,486806.99246901274
97,-710.0,492003.2165682316,-600.0,527128.7132973075
98,-217.383131980896,331247.4886239171,-262.0,340365.8115850091
99,-261.0,329157.4983434677,-100.0,429670.92125588655
