,AC before,dummy,AC eval
0,-352.1465902419891,-246.1109265209957,-46.433174208292094
1,-393.7633285720024,-70.93768882924766,-53.28609069730753
2,-443.65683243386223,-213.72639244889422,-47.28815958326318
3,-117.76866125830621,-72.66457626525383,-26.33645862231053
4,-468.6674040995222,-153.04796504769328,-58.64854870978544
5,-118.07699350615884,-124.25748236639026,-21.15139172793002
6,-147.1020072166469,-91.76622362951008,-59.97131245063552
7,-79.4990585684699,-107.69163533827074,-54.65496659586215
8,-137.84279457165493,-84.06787219293892,-50.805918167538266
9,-130.60355532087033,-137.0714691293141,-38.196739130621644
10,-205.38232137849087,-352.0443228694353,-59.47514987912804
11,-137.7721259029487,-141.14352790729745,-15.01671849287456
12,-277.03275285245303,-81.2327064526242,-36.761950460056696
13,-183.19306707942138,-330.55114248172686,-24.489903089246738
14,-63.235980417111996,-30.975627434841286,-17.65751748800851
15,-573.8382690533535,-118.66139567051101,-56.08211662989436
16,-162.16025107204848,-262.4964691566663,-69.38420065023047
17,-104.28058327845733,-89.84472210918511,-45.465255096679044
18,-176.5301321001064,-81.1237157840003,-24.045231533598326
19,-370.6120297569472,-244.12144492541,-55.64883129439477
20,-102.88167061645021,-150.50447937011435,-90.72476870833596
21,-366.57414205827934,-344.559340505345,-50.15272708087552
22,-102.77654072945454,-250.47980843238264,-62.07379434947078
23,-226.11478455361407,-10.42990410255645,-50.026010458462345
24,-134.2982143159387,-129.74140414617926,-41.130175510034974
25,-112.79343282074176,-229.51012928480316,-49.56982615250337
26,-102.25545445715893,-120.31803948418583,-46.86505644990385
27,-109.69363450672527,-137.28745269811492,-64.43443908161026
28,-340.888803613611,-253.6282463819093,-19.513808658803626
29,-193.19523824371237,-86.54124395156249,-22.516997794777836
30,-561.3606483928982,-146.8348504744379,-53.8353051949268
31,-332.53410460581756,-187.73773515336796,-20.459011242967478
32,-87.8878450984695,-135.60387940830216,-21.86582974618007
33,-121.66474613308561,-76.04863005721035,-52.020797290682665
34,-282.69514152741885,-184.71910846430157,-67.62553698940042
35,-341.9526254879599,-165.63090987713625,-31.1984993574292
36,-251.03769076425334,-102.4518589301926,-9.945051677125662
37,-106.88301847599516,-208.70132831635726,-22.247498856660528
38,-371.517732446952,-241.76312847965426,-59.80048535239574
39,-463.86636311291306,-92.34606661437707,-70.75847726491784
40,26.922000776291227,-91.6039957134891,-34.69767169770512
41,-348.6983668608949,-243.93895951209186,-18.819548807631236
42,-420.5338641984059,-203.02248539342511,-46.7651347523434
43,-438.672999949256,-74.79549734429642,-39.281059986390275
44,-275.45343353745136,-262.6927608845059,-16.089399637732342
45,-464.7688971310747,-497.3808783611457,-12.006072908280004
46,-149.63328765261147,-260.6450096333507,-13.124205568627858
47,-122.80815292827462,-282.62666026516956,-45.44881162947347
48,-261.65486189250163,-116.21275244735881,-34.87196732315755
49,-298.42275786315525,-324.8773797073055,-85.47708225241765
50,-511.87060534433056,-327.3584271121373,-37.31202434903713
51,-276.8579347712324,-147.7981662463265,-31.625591208753093
52,-399.32304927557317,-419.6842413546532,-31.86007124390079
53,-282.28311984701696,-104.62247536262664,-62.26714679511563
54,-113.39579270430546,-63.24250284212326,-38.37713310183439
55,-164.2265518649405,-35.59678769416455,-32.13331596497167
56,-302.27943449665713,-92.80794397213404,-21.94884424949352
57,1.8439444766551958,-153.52267999557884,-13.944877130188004
58,-398.2642816036652,-173.991567741839,-42.56256796273925
59,-123.4579579375967,-313.7427915208705,-29.193025147285567
60,-148.61661576835093,-315.0837158270016,-60.91253100043167
61,-402.0959052834773,-101.54986581008714,-21.196316543418106
62,-432.1285676454142,-374.9979392662304,-49.29619570197559
63,-96.20593639413461,-127.43681800125299,-37.363107767992986
64,-76.21842979786507,-313.89861955990835,-45.60908936314304
65,-77.9756255982685,-101.4406882561653,-85.61122327228964
66,-83.55059727182723,-88.3109536293651,16.63437575978513
67,-325.15663750015426,-156.9260821836889,-38.36871524008694
68,-83.95866021346143,-109.08209953964659,-32.21435706834106
69,-353.33800367032404,-93.21882850645298,-53.67352988078444
70,-414.9319731982036,-23.746929283851458,-39.68554964132697
71,-98.26792066609241,-110.7334173289379,-62.590849139579106
72,-356.50085073997695,-408.3090026068235,-58.86044666814749
73,-118.64852114251707,-185.88190029844984,-49.52982909431308
74,-118.06382267769092,-69.73800296517953,-43.505496971609645
75,-109.2354680063819,-102.90520908518872,-83.4144078927271
76,-470.70718471443445,-192.52471493724838,-56.17652743292791
77,-115.8501100373918,-143.32825600298455,-88.28196521447835
78,-205.3958429608575,-237.79073998533315,-58.60455518051597
79,-355.2283826758038,-198.87101026677573,-38.555227034982046
80,-183.15992818583328,-113.87646684374178,-23.36015046403115
81,-103.82922429026576,-168.8111661695071,-56.599799177629315
82,-122.0930303118474,-139.267620716588,-37.898450783687025
83,-347.1397430662452,-120.34688259302071,-57.741826916215246
84,-87.86917011573863,-159.71955878177,-50.168360806904204
85,-213.06560525689432,-291.32743317104524,-28.630951403903964
86,-617.1773116155055,-374.68829996426416,15.83028537905237
87,-226.43775245897743,30.390191478440556,-27.86985423193903
88,-434.19583969311117,-103.00788070120838,-10.716613304117217
89,-445.3577677325526,-270.4217323835895,-13.397166935632072
