,agent before,dummy,agent eval
0,31.0,12.0,45.0
1,22.0,21.0,72.0
2,20.0,44.0,49.0
3,13.0,13.0,29.0
4,25.0,16.0,124.0
5,11.0,86.0,79.0
6,16.0,45.0,31.0
7,15.0,17.0,110.0
8,21.0,17.0,26.0
9,9.0,21.0,114.0
10,16.0,12.0,99.0
11,23.0,16.0,40.0
12,16.0,33.0,66.0
13,21.0,21.0,15.0
14,12.0,15.0,57.0
15,27.0,12.0,32.0
16,20.0,13.0,23.0
17,12.0,10.0,44.0
18,16.0,32.0,50.0
19,13.0,40.0,38.0
20,18.0,12.0,70.0
21,18.0,22.0,55.0
22,12.0,18.0,38.0
23,12.0,57.0,96.0
24,11.0,16.0,54.0
25,11.0,52.0,24.0
26,14.0,14.0,53.0
27,12.0,14.0,95.0
28,11.0,12.0,117.0
29,11.0,21.0,100.0
30,13.0,13.0,124.0
31,31.0,42.0,74.0
32,15.0,26.0,123.0
33,12.0,19.0,61.0
34,10.0,26.0,27.0
35,16.0,15.0,69.0
36,13.0,12.0,33.0
37,11.0,10.0,66.0
38,28.0,20.0,75.0
39,25.0,12.0,140.0
40,37.0,13.0,16.0
41,27.0,11.0,47.0
42,14.0,15.0,11.0
43,11.0,28.0,104.0
44,12.0,29.0,82.0
45,13.0,29.0,42.0
46,23.0,13.0,35.0
47,9.0,10.0,19.0
48,15.0,21.0,25.0
49,11.0,25.0,98.0
50,14.0,11.0,94.0
51,11.0,14.0,37.0
52,36.0,21.0,194.0
53,19.0,15.0,88.0
54,11.0,24.0,75.0
55,22.0,13.0,27.0
56,22.0,12.0,63.0
57,23.0,15.0,97.0
58,16.0,17.0,28.0
59,9.0,13.0,80.0
60,17.0,13.0,10.0
61,12.0,19.0,15.0
62,14.0,9.0,58.0
63,14.0,11.0,41.0
64,11.0,15.0,97.0
65,22.0,20.0,85.0
66,26.0,44.0,49.0
67,13.0,39.0,43.0
68,11.0,13.0,101.0
69,11.0,23.0,123.0
70,16.0,15.0,103.0
71,32.0,18.0,95.0
72,11.0,44.0,96.0
73,11.0,19.0,25.0
74,10.0,16.0,100.0
75,24.0,15.0,79.0
76,17.0,23.0,51.0
77,14.0,15.0,72.0
78,24.0,20.0,112.0
79,13.0,36.0,52.0
80,15.0,27.0,40.0
81,37.0,26.0,20.0
82,23.0,81.0,16.0
83,11.0,37.0,55.0
84,15.0,21.0,70.0
85,26.0,11.0,126.0
86,12.0,13.0,20.0
87,11.0,11.0,113.0
88,17.0,31.0,24.0
89,12.0,23.0,51.0
90,20.0,38.0,58.0
91,9.0,14.0,60.0
92,14.0,20.0,33.0
93,20.0,51.0,135.0
94,10.0,40.0,27.0
95,13.0,11.0,20.0
96,12.0,22.0,32.0
97,9.0,65.0,47.0
98,16.0,14.0,92.0
99,15.0,24.0,53.0
