,agent before,agent eval,dummy,Optimization agent
0,-510.0,2578.2894493341446,-100.0,3349.4985108971596
1,-600.0,2404.8146364092827,-100.0,3037.1683222055435
2,-600.0,3192.7401661872864,-140.0,2590.159304499626
3,-600.0,2297.422584950924,-318.10191744565964,2670.9929007291794
4,-124.0,2813.3346182107925,-124.0,2972.34699600935
5,-683.0,2698.8888217806816,-180.0,2615.1335467100143
6,-600.0,2697.6089900135994,-124.0,1758.26657050848
7,-600.0,2541.1555349826813,-600.0,2596.0362601280212
8,-100.0,3005.7270997166634,-383.0,3026.7039954066277
9,-617.1813251972198,2473.582157790661,-315.877847969532,2733.7922734618187
10,-124.0,2289.364812195301,-300.0,2806.642084956169
11,-142.0,3259.5042037963867,-195.3218316435814,2070.2997938990593
12,-300.0,2313.3337183594704,-362.86239498853683,2634.7260949611664
13,-600.0,2912.392185330391,-600.0,2885.074666917324
14,-620.0,3052.588753759861,-510.0,1801.238875746727
15,-634.0,3212.3891070485115,-683.0,2416.3378083109856
16,-142.0,2510.980591714382,-100.0,2618.883162200451
17,-112.0,2987.944234907627,-100.0,2877.9302295446396
18,-107.18132519721985,2566.4219292402267,-158.0,2178.7169957756996
19,-600.0,3044.923099756241,-118.40260803699493,1775.132742345333
20,-620.0,3337.2038264870644,-150.0,2363.791828215122
21,-111.14050644636154,2451.7091396450996,-100.0,3191.5231545567513
22,-108.14050644636154,3094.372597515583,-600.0,2509.021321296692
23,-100.0,3465.1994999051094,-300.0,2491.16992610693
24,-600.0,2941.502594470978,-264.6992149949074,2733.4286340475082
25,-600.0,2585.048151910305,-183.0,2023.9447893500328
26,-300.0,2825.352820634842,-131.0,1629.5257858037949
27,-100.0,2729.5655064582825,-300.0,2694.7433782219887
28,-157.0,2805.8380843400955,-100.0,3679.0332456827164
29,-340.0,2398.518583714962,-300.0,2133.3334215283394
30,-183.0,2783.6030539274216,-167.18132519721985,2036.5061826109886
31,-180.0,2987.437729895115,-634.0,3370.356807589531
32,-100.0,2241.27753084898,-600.0,3341.0200496912003
33,-173.0,2648.088935136795,-100.0,3101.768469750881
34,-600.0,2936.2432492375374,-189.29290795326233,2505.1142874360085
35,-171.0,3061.458917796612,-100.0,2348.322380721569
36,-345.3218316435814,2182.2428656220436,-334.0,3466.8043602705
37,-634.0,2432.8289170861244,-600.0,2157.848769545555
38,-300.0,2376.337102532387,-633.0,2266.542730629444
39,-340.0,2875.6921865940094,-234.0,3693.8697229623795
40,-600.0,2108.2146374583244,-300.0,2550.583951830864
41,-112.0,3017.7554001808167,-135.0,1544.0113328695297
42,-300.0,3134.637015879154,-300.0,2231.833115875721
43,-688.0,2632.1961166858673,-142.0,2587.545927643776
44,-100.0,2804.9440621733665,-633.0,3557.724299132824
