,agent before,dummy,agent eval
0,-235.74254973821468,-115.34287189468856,-19.862798757210616
1,-168.29772696194226,-232.48026972493702,5.033360452273494
2,-358.8680911027785,-216.90168290906496,-382.8232429599102
3,-502.9504218776797,-347.8677157244726,11.366261727446938
4,-108.8525727318526,-289.07812194427106,-12.09454397023967
5,-38.22856960572966,-161.7426200349636,-183.29899019217999
6,-121.94455972379993,-313.9241728489246,-37.884301742252774
7,-280.4998702635843,-62.04340246154226,-62.96232143474947
8,-103.27751060862164,-270.3435325621425,-166.93324701966526
9,-310.1109945700556,-98.09305130082402,-181.91153259290292
10,-226.93465367642875,-78.26154075766115,-137.82830801886152
11,-297.310563234925,-298.38917684827993,41.42168998853474
12,-107.58056319645593,-18.68457486873818,6.301056797846214
13,-291.9026202581838,-321.2054256999076,-200.79803850921513
14,-174.02070144970975,-158.50199320331507,11.874420542992357
15,-127.3357322538212,-349.7851166982862,-133.53822400168113
16,-51.430789252985285,-357.73456364046194,70.16322916901954
17,-328.14805417419734,-102.55242020006668,-302.27840845419996
18,-56.48937490395521,-60.07774854679247,15.793798313946002
19,-85.63141803878295,-356.65155902965904,-187.16965555807724
20,-99.24113068898522,-217.00858601299052,-310.3431686423122
21,-87.30739255285101,-131.57892193296615,-42.45031885531804
22,-176.023751365856,-101.20410589072519,-357.8853086540331
23,-289.8758532248497,-200.74236900504042,-301.4644542075779
24,-393.0338389606915,-260.2400028606297,-21.972203657776046
25,-183.61979830991638,-359.74979794352356,-99.2346854487827
26,-108.60936881633657,-42.38680484326673,-363.64995527674387
27,-64.38980169440016,5.2608836385917215,-179.79419814958737
28,-56.61772964095061,-353.9567048025625,-38.16839455055617
29,-134.06831006952552,-78.94227954285353,-77.16194769023379
30,-258.0606939384243,-456.24622174305256,-543.9107726715042
31,-219.2222920997445,-104.62564747881598,-247.7008222717645
32,-88.56656490784552,-104.60188451501517,-373.73614666691856
33,-230.4080031565196,-104.36769121737946,-200.2630690558596
34,-128.02817079659005,-341.92634327226693,-120.7705835821164
35,-122.10050042485459,-489.3615804367281,-528.1941518180345
36,-76.8760805563811,-413.4929246207539,-1.7280107449922184
37,-200.3262711618508,1.3308820047451775,-128.02439951743327
