,agent before,dummy,agent eval
0,-412.2626172826814,-239.36005151842443,-147.44973966625798
1,-99.76972625542098,-102.17533808785822,-53.17869694135092
2,-126.91920101005717,-154.25296472474017,-133.83768605205594
3,-134.1451403063968,-133.39984296107917,-70.64559179258308
4,-110.85636453455562,-52.45731057376685,-73.17896790045917
5,-305.420656431629,-115.14295641556042,-119.96321600000293
6,-279.0703971414056,-152.3270072857231,-104.7846622249909
7,-155.95613839863134,-102.85105246408051,-121.3458997846779
8,-17.97429665661778,-120.89461576992278,-102.88210404065349
9,-140.4626706574385,-105.54188823706724,-155.79546973312415
10,-130.67686003914025,-106.44527761657284,-131.7973191212618
11,-101.85608718743046,-96.68822485398674,-109.37422226601807
12,-263.1498670420978,-74.02285326381659,-81.35612161906343
13,-115.93848631091099,-152.51112500687702,-101.03526330675557
14,-113.85217093652297,-103.36491948443553,-42.76628535351134
15,-114.50638578805923,-342.8495424063166,-130.4025716827738
16,-112.4636176345389,-388.0719552711455,-143.51578727135663
17,27.349331414520307,-396.6593096446525,-149.5112737734282
18,-127.86288583246063,-169.9571351168384,-74.07388872223878
19,-309.6625149813849,-183.14491754328822,-93.84939057745355
20,-395.88542339580044,-87.53791874608591,-73.28189882792043
21,-144.19843499381363,-381.9112151866215,-77.00834596549468
22,1.3543108274593436,-239.81879826786107,-71.08669925744545
23,-354.6929828002405,-140.42916373819048,-136.80592418034774
24,-124.83363552952049,-349.99186756014586,-127.65101576697991
25,-144.0776926699644,-438.60071440357393,-74.59478580718323
26,-345.32052946345175,-134.84935290705636,-126.30441069875805
27,-129.4426414239644,-87.14161781946132,-153.66995287720223
28,-398.17023558520486,-365.1950250091077,-134.4898994357427
29,-118.18818316114195,-157.60144793731385,-107.85948429677879
30,-283.2599232359089,-98.28625001876978,-125.60872321110612
31,-403.02845894945267,-427.8300597931495,-110.25531760521685
32,-108.0906013129316,-306.2476153011413,-68.75055064916127
33,-299.86346433770404,-398.50129762344267,-127.91776434429961
34,-416.55105241649215,-109.80342232349244,-65.55618598308219
35,-71.78233595539223,-285.2008543669573,-99.59501580322568
36,-117.87335683896868,-186.84881526082853,-125.61280382485481
37,-37.34829125608466,-320.29339817585117,-133.03329389078425
38,-146.5369034884894,-112.93131167006975,-116.72626644054633
39,-86.0359274649864,-126.20834402249112,-110.08167898624288
40,-304.2498633785897,-114.03002385650962,-95.67487392339511
41,-104.14067219835694,-132.1212430948617,-88.73624401930479
42,-224.05164380893225,-88.9165281991631,-150.06506108172857
43,-160.66496820486304,-197.53813505591654,-96.0127824301141
44,-161.5276145257463,-47.08512411954186,-129.8090051672436
45,-135.03301782921585,-160.59252568057406,-120.87560007181416
46,-288.5841647246358,-89.23107842943105,-80.36438273058434
47,-138.1147725472369,-105.09180957683364,-57.766045005680326
48,-132.68656760233569,-293.5520779124314,-81.55466199797749
49,-192.01262486407353,-283.1504336925232,-124.58412081849893
50,-434.74359127450066,-96.89223364198378,-120.66434061790282
51,-110.87749216020002,-83.03631228882534,-106.07395099651846
52,-163.9351733732482,-136.92272142579571,-135.51814107754547
53,-17.87629909633678,-458.47967025541925,-58.442782144828826
54,-295.3951866890184,-297.5514387525534,-109.50492238575468
55,-272.5773892639629,-153.65133333580772,-154.3007893507057
56,34.828169948690885,-119.55177573826134,-124.0369629057943
57,-54.97096082613798,66.85921235706132,-156.4589727173858
58,-256.8618182588514,-250.24233615578117,-76.56679784478834
59,-111.87895195703743,-138.55291548087777,-86.21077539345984
60,-113.2066246269695,-153.87273761818454,-127.23360848906889
61,-85.61862875158917,-147.04136919943906,-139.55894224183334
62,-116.24621397288362,-160.2461475472279,-133.1623546825122
63,-164.71737868001838,8.85013161923088,-108.05939346880811
64,-159.1187878373171,-403.2224891894676,-87.40429017569458
65,-39.3226346404428,-210.39842115684678,-171.67080367414724
66,-387.0695002123379,-132.05425477177363,-156.77783856407228
67,-119.81162636405416,-94.30073094132459,-114.09795761708475
68,-117.57638950382204,-123.51644275952711,-89.4802474508706
69,-250.98873475082036,-205.85166139751,-60.2002728916177
70,-166.77497213450727,-104.98361649492215,-107.00582307280735
71,-105.05824091775051,-114.37891918742923,-56.37579418815647
72,-207.03513570171876,-99.74438748389665,-137.78996187956992
73,-3.282405924847083,-354.5197537920278,-132.94321313114267
74,-275.6969537207703,-451.81735394352046,-87.02944626380346
75,-425.18628324789574,-97.43775773400387,-124.38056123753292
76,-426.36124270083104,-252.52174603640447,-101.14075958402996
77,-94.27579121633022,-77.69539172418757,-129.96311245640686
78,-88.61934456129183,-339.37550698041025,-96.15480195621288
79,-243.9788916412428,-218.75506314238402,-136.19563319631933
80,-145.68550988690856,-79.12781231942755,-109.63933526172022
81,-140.14742513777725,-277.8915469421486,-62.06219650045579
82,-297.6648406482964,-384.35624308199044,-54.56099075053367
83,-105.63443453801489,-78.14954019069071,-110.22622687130355
84,-81.32920570537436,-199.68882874433797,-128.9109403289143
85,-89.11153276480506,-105.37682403509261,-83.1641637364662
86,-38.27490846349864,-252.53431652029275,-92.08459631913598
87,-405.5739775054358,-107.50688879472605,-94.55049513521787
88,-143.56195308142318,-413.10224061674586,-133.50805584243815
89,-414.489571846163,16.25061906817598,-93.24908790935707
90,-106.01888748456027,-90.9436542344779,-124.76021996559518
91,-169.87116286064776,-107.19551845550971,-99.33454021249845
92,-375.3913320718683,-82.5196682878971,-85.44197928616792
93,-216.64788081626426,-347.74397815686234,-87.9230446041236
94,-284.649944646574,-51.45891423131192,-133.99285699347084
95,-382.44594192114596,-128.11833956781527,-86.75866623064005
96,-79.59979618099874,-76.72855751699919,-58.35167921567121
97,-335.9418191688399,-37.80743471771213,-146.60316041011515
98,-369.80680458000774,-250.12526674697588,-51.41146891040754
99,-128.85528526971572,-43.83178684454079,-150.9138336814845
