,Agent before,Agent eval,dummy
0,9.0,221.0,17.0
1,11.0,245.0,21.0
2,57.0,232.0,11.0
3,18.0,360.0,9.0
4,10.0,160.0,21.0
5,22.0,164.0,46.0
6,8.0,275.0,8.0
7,18.0,223.0,32.0
8,17.0,302.0,17.0
9,14.0,199.0,8.0
10,23.0,222.0,20.0
11,17.0,238.0,16.0
12,10.0,277.0,14.0
13,16.0,200.0,11.0
14,14.0,301.0,9.0
15,9.0,163.0,9.0
16,16.0,252.0,8.0
17,17.0,228.0,16.0
18,16.0,156.0,9.0
19,14.0,243.0,7.0
20,9.0,183.0,12.0
21,21.0,260.0,7.0
22,35.0,259.0,19.0
23,25.0,228.0,16.0
24,25.0,410.0,12.0
25,14.0,249.0,23.0
26,31.0,248.0,32.0
27,11.0,209.0,17.0
28,23.0,307.0,10.0
29,19.0,248.0,11.0
30,11.0,296.0,26.0
31,16.0,238.0,23.0
32,16.0,183.0,13.0
33,16.0,292.0,14.0
34,39.0,156.0,8.0
35,25.0,219.0,16.0
36,13.0,207.0,15.0
37,52.0,216.0,14.0
38,17.0,250.0,14.0
39,18.0,183.0,11.0
40,12.0,210.0,21.0
41,18.0,271.0,12.0
42,12.0,233.0,8.0
43,12.0,213.0,31.0
44,19.0,282.0,12.0
45,13.0,203.0,26.0
46,16.0,174.0,8.0
47,9.0,146.0,8.0
48,27.0,151.0,13.0
49,10.0,216.0,11.0
50,14.0,175.0,7.0
51,12.0,203.0,20.0
52,10.0,168.0,9.0
53,13.0,205.0,11.0
54,15.0,301.0,8.0
55,9.0,222.0,11.0
56,8.0,209.0,7.0
57,14.0,347.0,13.0
58,33.0,213.0,8.0
59,13.0,218.0,23.0
60,8.0,153.0,13.0
61,21.0,208.0,30.0
62,9.0,276.0,32.0
63,53.0,180.0,15.0
64,9.0,199.0,7.0
65,9.0,312.0,12.0
66,20.0,264.0,8.0
67,13.0,160.0,15.0
68,16.0,187.0,9.0
69,16.0,346.0,12.0
70,10.0,329.0,18.0
71,16.0,245.0,15.0
72,8.0,225.0,10.0
73,22.0,252.0,11.0
74,15.0,163.0,10.0
75,29.0,211.0,9.0
76,26.0,260.0,14.0
77,28.0,217.0,30.0
78,10.0,333.0,12.0
79,44.0,238.0,17.0
80,10.0,318.0,26.0
81,21.0,319.0,29.0
82,36.0,221.0,24.0
83,13.0,174.0,15.0
84,18.0,273.0,18.0
85,12.0,264.0,9.0
86,9.0,262.0,19.0
87,9.0,220.0,16.0
88,10.0,250.0,24.0
89,39.0,366.0,9.0
90,26.0,180.0,24.0
91,18.0,224.0,47.0
92,17.0,165.0,13.0
93,16.0,207.0,12.0
94,19.0,153.0,11.0
95,22.0,273.0,12.0
96,65.0,326.0,13.0
97,22.0,234.0,9.0
98,52.0,315.0,18.0
99,49.0,183.0,10.0
