,Agent before,Agent eval,dummy
0,-89.37186766435453,-42.744805559407936,-45.85186743252348
1,-129.47835219282064,-327.5170335070645,-226.6595823739168
2,-88.65128376308438,-404.8598112103295,-196.32836528327692
3,-133.05198018033462,-509.92338682670044,-37.657188648001686
4,-85.85223552740376,-296.97442528607917,-442.7797771068153
5,-178.54607525266428,-149.31667620095158,-318.5369185640821
6,-221.7974699850891,-329.2303383991061,-52.334486317542144
7,-69.87028061365814,-231.37919464872652,-256.2734715195524
8,-204.01139595111363,-165.45350295068795,-113.64503735255865
9,-96.78529333673141,-401.96559338022985,-79.06731077613613
10,-57.73891688919641,-281.93909655160974,-483.74901609695405
11,-277.699570212483,-290.3908576069357,-198.99788932329017
12,-62.6540710866935,-540.5880201204058,-105.88147976720832
13,-221.50937375117968,-264.771688896486,-84.73156794562442
14,-147.60747818220173,-260.13786449028385,-189.8256330704122
15,-376.67115060480353,-412.9821814533584,-86.56788588036858
16,-74.29444023687603,-423.24705929109035,-106.96981545558627
17,-80.69445982897894,-445.2222734395129,-209.751475661032
18,-107.86728922383494,-149.2724717484055,-395.0860427086892
19,-372.9835735252748,-264.7865219210581,-145.01612256245355
20,-76.10259767185428,-435.3026287611653,-377.54399367847924
21,-107.69286590633666,-618.397408201935,-272.20740276370304
22,-70.46729460292914,-27.893735700433766,-436.4612564587057
23,-72.25980081266748,-335.77413328160736,-227.57560194432386
24,-271.85002551030004,-165.79930462936838,-56.01100571872442
25,-154.73248099133525,-228.62405719111985,-288.59517735685245
26,-90.0686859500075,-140.24252120608287,-52.68277650275035
27,-144.22192853257297,-284.5612465172583,-53.31395315360498
28,-55.57998945474348,-352.7484281939643,-368.29555063303565
29,-124.00887571226667,-334.5493506846664,-105.27322050085853
30,-250.4739126418205,-112.88150548969784,-377.1168196077517
31,-103.88174800048469,-184.23618548697323,-371.88727638916396
32,-265.08269790941495,-382.4609964692754,-296.45856353744756
33,-246.3633206245635,-299.2170925482884,-367.8141553823231
34,-339.8864407015934,-265.8948308625555,-34.64101506145343
35,-70.42317537321242,-299.85673961729776,-105.8697111913901
36,-349.8630322207306,-161.352778518713,-223.2915104317059
37,-98.10396011553526,-401.99010882163185,-115.40029453165988
38,-286.79772970780886,-137.45984982243203,-153.25720832827992
39,-177.27603297859082,-395.4753666952172,-306.8994910786374
