,agent before,agent eval,dummy
0,10.0,460.0,25.0
1,12.0,205.0,23.0
2,23.0,362.0,42.0
3,24.0,230.0,12.0
4,21.0,285.0,12.0
5,16.0,237.0,23.0
6,29.0,228.0,42.0
7,21.0,360.0,35.0
8,22.0,221.0,13.0
9,14.0,353.0,11.0
10,10.0,340.0,22.0
11,20.0,283.0,55.0
12,22.0,396.0,21.0
13,10.0,233.0,22.0
14,15.0,243.0,14.0
15,13.0,275.0,22.0
16,59.0,489.0,46.0
17,37.0,214.0,11.0
18,11.0,305.0,13.0
19,14.0,336.0,55.0
20,33.0,244.0,17.0
21,13.0,303.0,15.0
22,26.0,280.0,12.0
23,64.0,199.0,23.0
24,11.0,277.0,46.0
25,19.0,324.0,26.0
26,14.0,235.0,16.0
27,13.0,246.0,38.0
28,12.0,355.0,32.0
29,17.0,257.0,23.0
30,13.0,277.0,21.0
31,19.0,443.0,13.0
32,15.0,356.0,59.0
33,9.0,382.0,12.0
34,23.0,214.0,13.0
35,17.0,358.0,29.0
36,26.0,379.0,19.0
37,13.0,211.0,13.0
38,42.0,214.0,21.0
39,11.0,168.0,43.0
40,25.0,237.0,34.0
41,13.0,160.0,14.0
42,14.0,243.0,18.0
43,26.0,394.0,23.0
44,11.0,286.0,30.0
45,14.0,301.0,24.0
46,22.0,302.0,11.0
47,16.0,198.0,14.0
48,23.0,414.0,24.0
49,22.0,325.0,17.0
50,12.0,188.0,17.0
51,12.0,209.0,25.0
52,15.0,363.0,30.0
53,56.0,388.0,14.0
54,39.0,318.0,36.0
55,16.0,317.0,15.0
56,14.0,455.0,17.0
57,26.0,268.0,15.0
58,12.0,252.0,53.0
59,11.0,248.0,22.0
60,15.0,353.0,34.0
61,15.0,231.0,38.0
62,22.0,241.0,20.0
63,28.0,246.0,40.0
64,19.0,251.0,25.0
65,15.0,195.0,14.0
66,18.0,322.0,17.0
67,9.0,238.0,24.0
68,39.0,212.0,12.0
69,20.0,341.0,21.0
70,11.0,206.0,11.0
71,41.0,299.0,54.0
72,78.0,202.0,12.0
73,16.0,247.0,14.0
74,13.0,210.0,34.0
75,12.0,376.0,17.0
76,10.0,500.0,12.0
77,17.0,335.0,18.0
78,23.0,361.0,15.0
79,30.0,500.0,22.0
80,24.0,203.0,32.0
81,21.0,260.0,11.0
82,9.0,287.0,21.0
83,21.0,356.0,11.0
84,34.0,217.0,11.0
85,13.0,312.0,21.0
86,13.0,260.0,37.0
87,55.0,440.0,14.0
88,17.0,286.0,51.0
89,12.0,96.0,34.0
90,21.0,361.0,16.0
91,25.0,271.0,23.0
92,13.0,226.0,13.0
93,32.0,204.0,35.0
94,14.0,352.0,14.0
95,25.0,246.0,15.0
96,16.0,299.0,17.0
97,26.0,212.0,13.0
98,14.0,186.0,20.0
99,15.0,249.0,22.0
