,agent before,agent eval,dummy,Optimization agent
0,-360.0,941.5185724496841,-300.0,3472.0701751708984
1,-595.2217926383018,1612.8006298542023,-104.38396263122559,3145.5549581050873
2,-112.0,1323.5802003741264,-510.0,2299.2389236092567
3,-135.0,1500.3497414588928,-170.22179263830185,2316.0644260644913
4,-124.0,1159.0933706760406,-140.82186698913574,2403.5673575997353
5,-348.7944679260254,1845.167236149311,-620.0,2736.794145524502
6,-140.82186698913574,1486.1979598402977,-620.0,3691.1719866394997
7,-103.98836994171143,1426.9143518805504,-100.0,2804.6161426901817
8,-135.0,866.5591568350792,-383.0,3746.6567510962486
9,-151.0,1409.669117152691,-180.0,1976.821334719658
10,-108.83783000707626,1527.8119364976883,-119.38396263122559,3010.5537453889847
11,-600.0,1099.2222639918327,-362.81798285245895,2296.1723785996437
12,-109.0,751.1623464822769,-600.0,2917.6048550009727
13,-184.0,583.1053566932678,-100.0,3566.9652729034424
14,-140.0,1287.8928544521332,-300.0,3412.912066280842
15,-140.82186698913574,1070.169954240322,-142.0,3266.478190422058
16,-180.0,962.9934633970261,-600.0,3204.215172290802
17,-247.109798848629,837.4602412581444,-300.0,3144.3517256975174
18,-119.38396263122559,1459.7904720306396,-106.36529421806335,2679.9217008948326
19,-640.8218669891357,1631.3313225507736,-159.3839626312256,3096.101102769375
20,-155.70697736740112,1693.6049785017967,-100.0,3437.662788629532
21,-340.0,1170.3621740937233,-189.88511037826538,2613.3646228313446
22,-104.96619880199432,515.9587607383728,-300.0,3679.9313473701477
23,-200.0,1609.3232620954514,-300.0,2769.69026863575
24,-129.0,1622.7696233391762,-173.0,3870.3388843536377
25,-360.0,1231.2395762205124,-184.0,3045.3891575932503
26,-634.0,1279.2949275374413,-142.0,2889.2412621974945
27,-340.0,1631.2173156142235,-100.0,3233.367480456829
28,-374.0,1502.6048160791397,-180.0,3099.0077311992645
29,-198.8995611667633,1449.2553322911263,-300.0,2977.6581845879555
30,-200.0,874.7809012532234,-600.0,2612.1557254195213
31,-118.50776219367981,1565.9100081920624,-300.0,2918.35634213686
32,-334.0,1620.5193907618523,-348.7944679260254,3486.422897517681
33,-140.82186698913574,1022.5887563228607,-600.0,3050.780238687992
34,-100.0,1293.1187860965729,-120.0,2927.4136132597923
35,-340.0,1368.0522455573082,-157.0,3765.7956951856613
36,-100.0,1657.3422630429268,-200.0,3224.322252690792
37,-138.0,1546.84560328722,-100.0,3261.589151263237
38,-119.38396263122559,1611.5295668840408,-548.7944679260254,2858.1711391806602
39,-374.0,2253.330335497856,-173.0,3305.6433615088463
40,-600.0,1039.0377224087715,-180.0,3002.1243092417717
41,-151.3839626312256,1041.7051563858986,-166.09595209360123,1964.3567903637886
42,-184.70484614372253,1298.3690720796585,-600.0,3194.754522025585
43,-545.8218669891357,1124.6233308911324,-109.38396263122559,2809.3385486602783
44,-389.0,1709.2111617922783,-142.0,3895.1212851405144
45,-134.0,1640.4066987633705,-620.0,3866.4717507362366
46,-200.0,1300.4607914686203,-119.38396263122559,3401.3061577677727
47,-184.0,1287.8095321059227,-100.0,2800.786223590374
48,-200.0,1728.5591984391212,-100.0,1864.3691061735153
49,-140.0,1835.4595240354538,-600.0,1952.712216258049
50,-134.0,1543.1940791606903,-195.22179263830185,3019.5914544463158
51,-72.62774008512497,1474.5256997346878,-107.46872305870056,2749.744002699852
52,-300.0,1419.0902144312859,-600.0,3047.7586582303047
53,-133.40969228744507,1335.642213344574,-169.3839626312256,3604.533497929573
54,-600.0,1947.1905815005302,-109.0,3338.960532963276
55,-290.0,809.8401119112968,-600.0,2066.4885575175285
56,-100.56740295886993,1484.9146308898926,-300.0,3687.566269159317
57,-315.83783000707626,2130.7029374837875,-357.3908894062042,2438.3715423345566
58,-119.04005116224289,1290.679800093174,-360.0,2872.431354701519
59,29.765119194984436,1826.2477818131447,-614.6314849257469,2404.677658557892
60,-369.3839626312256,1075.871788740158,-300.0,3750.472121179104
61,-200.0,1472.7365030050278,-108.0,3478.6129256486893
62,-600.0,1191.07726252079,-619.3839626312256,3701.0719876289368
63,-16.62881898880005,954.1668299436569,-112.0,3780.399395942688
64,-148.83783000707626,1706.9459781050682,-464.3853880763054,4218.0351284742355
65,-57.1840922832489,832.0279194116592,-315.83783000707626,3047.4159032702446
66,-234.0,1782.56417709589,-168.82186698913574,3702.929952919483
67,-100.0,1179.8644547462463,-340.0,2921.2286286354065
68,-529.3839626312256,1276.4473330974579,-135.0,3010.3963599205017
69,-165.51011729240417,1633.8197357058525,-162.78221476078033,3104.1083347797394
70,-205.0,1055.3052341938019,-354.9661988019943,2815.373824119568
71,-220.0,1546.963053047657,-183.7987944483757,3251.1799246668816
72,-100.0,1567.1549692749977,-308.1661773920059,3730.8832728862762
73,-108.67957830429077,1223.673766195774,-600.0,3595.5903898477554
74,-100.0,1727.0830054879189,-100.0,2514.3672703504562
75,-109.0,847.5427849888802,-131.0,3525.625588774681
76,-300.0,1365.907796740532,-300.0,2316.4844287633896
77,-135.0,927.7790944576263,-173.0,3363.694281101227
78,-300.0,1277.7678690552711,-423.00681936740875,3181.356873869896
79,-220.0,1377.6790860891342,-641.0,2580.407256603241
80,-238.7944679260254,1298.424264729023,-300.0,2906.6708733439445
81,-200.0,1978.0179231762886,-300.0,2869.023710012436
82,-200.0,1376.2609747052193,-600.0,3668.816165149212
83,-303.3065530657768,720.9506915807724,-139.0,2194.1000435352325
84,-100.0,1465.2908717393875,-510.0,2038.6093643307686
85,-100.0,963.9286434054375,-300.0,4088.5791959166527
86,-169.24752229452133,1225.9854091405869,-200.0,2626.577854990959
87,-150.0,1686.6319823861122,-109.0,1803.2142278552055
88,-116.0,1505.2402572631836,-166.1764171719551,3009.267465353012
89,-185.71383380889893,1600.2436944246292,-600.0,3069.968028306961
90,-200.0,1626.3748133778572,-170.0977964401245,3159.851319551468
91,-166.0,973.8417567014694,-159.3839626312256,3150.6068236231804
92,-105.0,1887.9978154301643,-600.0,3381.5583983659744
93,-100.0,1208.208577632904,-256.61289608478546,1963.0768100619316
94,-109.38396263122559,1617.798068702221,-132.40969228744507,3031.0514093637466
95,-248.82186698913574,1668.401050746441,-141.83783000707626,2541.7034773230553
96,-230.82186698913574,1535.5619904398918,-600.0,3230.4970593452454
97,-133.0,945.3671332597733,-109.0,2624.869536280632
98,-20.231557965278625,1503.8729088902473,-683.0,2535.3773089051247
99,-109.0,210.56129848957062,-100.0,2911.5410630106926
