,ppo_eval,ppo_train_before,ppo_train_after,random_eval,random_train,strategy_eval,strategy_train
0,116716.25508997144,19299.728888783124,42346.71553562491,44837.19747622017,10570.272529212525,23030.38657315694,20743.647096656263
1,62076.10898190626,36831.232596765825,55290.45607667853,22815.41968115914,66311.97372019451,24187.165181481032,20067.73250486383
2,76266.60165505254,24513.853829862768,56221.581113273394,49836.54042068354,22599.452856079704,20459.037852649184,20412.055290691
3,68570.98403227638,16573.721289840178,61750.05637327436,29750.487678098085,34954.06537810428,25775.65873393514,19154.024145743475
4,79327.73606014054,36966.54943895285,57184.21865693701,12664.126908476406,32895.034319908824,20930.08732867599,20058.361565123036
5,98833.42379745227,21412.712229349752,56431.86440368841,23385.732594040295,15916.100677436945,27037.708098936084,20285.92999180907
6,76216.67661526089,5299.611605725455,48230.145190063486,6733.191481135364,806.7092911076325,23015.324072155316,20412.14999654812
7,55502.57860076762,11747.314223514652,60552.644153135305,64948.94960640496,48214.06477166564,26046.63927032672,20473.114319771194
8,76758.33735825351,21332.010159522542,52402.16383519868,7086.795098850547,25344.14292361001,26520.696001396253,20267.704788493167
9,105636.73627718963,28243.32747771658,46841.06873976573,54652.11852504627,20289.07669772611,25816.24949782381,20899.829821767373
10,68863.93207774017,24462.592557091208,41211.14686922735,-401.2509771184268,15713.856982497105,25077.94054914388,21927.65368226712
11,58630.824548127595,9029.748993051195,46221.64881019524,47822.22740013414,27745.044769488188,23114.934039265747,20732.58688699534
12,81231.14466405526,31030.903528268158,66737.20477553521,61943.31106845147,9600.74962023941,22976.50068745132,20950.141107009258
13,70557.28796283033,47001.46694199156,47452.481043097156,50876.017428478226,30468.318166443845,27852.206624749,21027.981497751418
14,66934.18464293884,24256.197050097326,50627.32467568648,7514.686101603162,42604.108197738446,23120.80699142607,19524.99801908787
15,74355.21690876398,17277.858007673334,58756.00406582485,12944.254362621068,21267.567526769868,26150.66025629663,20766.67498106211
16,67959.68529881554,10861.713237916498,50278.69301436396,50404.40662811347,27716.127960209444,23898.068130609434,20818.801668976055
17,83656.84654048661,35707.246015122626,44613.48685423125,38255.030769387435,21244.59054291685,23518.452259107653,21768.21006318374
18,90151.36458381923,43280.11061950869,53078.71721138162,66584.96981892805,18135.770157787018,27466.39981159226,22083.25884125562
19,99415.80547286535,46978.08929203695,50454.3579068945,17763.23256972176,-1255.3170114404784,22767.72629338593,20731.800198613302
20,61392.300577442715,58424.33481306827,63163.6435505079,27168.48635086097,6646.125048853777,17403.5164878098,20690.961767207977
21,69341.29172967866,16008.434442568105,51322.834013219835,11807.803573809695,16347.027259189272,23703.741884037212,20961.860354265285
22,61702.56840319946,43219.60589515153,57449.04883414059,-12499.6217495819,26559.5264962262,26657.034574290883,21405.64676573177
23,65144.702980420756,48699.949689771485,58280.52731909993,49665.582033814455,40664.271134729584,29446.96036570576,20737.019638846614
