,ppo_eval,ppo_train_before,ppo_train_after,random_eval,random_train,strategy_eval,strategy_train
0,205297.49613691645,159864.66598022284,76447.58224057616,166208.23009514256,-16887.582927011943,119686.43162083958,18439.8554330099
1,212202.08155247045,66164.44440100744,71523.6094228767,150908.5331242297,76355.81944929369,111794.41484122211,18562.444624409953
2,221640.12969874585,-9174.644364752006,72165.37387273292,115069.53977765184,7902.623250789591,104522.11304758186,20980.44601176094
3,155031.49829938734,98993.92714131871,66416.87496678476,121034.58905807408,-2473.598079135205,109244.890718018,19589.444169636365
4,243923.41090467048,45515.73378845793,96256.31632331031,99943.8557350144,111713.32048952745,119099.57224225541,15966.016453610384
5,134635.91350435014,49212.194141389744,85885.22850088883,57861.572646272805,78728.43641122614,108337.83012165182,17548.28631671339
6,179375.86332150054,17627.32935373785,70185.1211750007,23250.342963628005,54999.211624311545,123863.38874675854,17753.358774967943
7,140326.01548505135,86046.89719744909,93591.7075483303,30006.17248598754,80519.15555662691,115671.9180863899,16902.890339558944
8,165421.56870616053,6343.342206198155,46286.75396393292,42559.914127945434,80539.75797739302,106253.25791228842,19562.5039844774
9,205932.28546384315,46426.158193675365,72735.19663560973,105500.40200321499,70629.0719281206,119930.94757663982,17872.807772238666
10,179308.76557235594,96861.82523112901,83533.30754497106,107121.01871158314,44927.46677709586,112910.47186794668,19573.43949195044
11,173467.7364540554,63165.172850292875,50314.79402737034,65725.58636090314,32636.337405263504,117233.20737151406,17028.525586034768
12,217101.722156815,3374.2942034585285,58085.364865130745,46565.1982806997,106096.80358447233,119925.02580637872,22034.865175697356
13,165170.598338351,43760.2349087747,102995.99320382663,71391.30530830039,-2986.4690430098126,121417.18643819017,14991.182202778786
14,179620.31128797441,32818.32049485744,62285.63882336044,163755.21094111417,52691.34962856863,114770.05822016238,20212.98691744289
15,201778.23461351934,50333.207207098196,43027.02787348849,129600.1294721165,24772.270510775183,120878.90910512884,20670.70515832759
16,208271.08555188612,54812.44505015531,46021.78500058895,153347.88167549748,57310.03013961768,106826.90476583212,16516.059996261887
17,190685.88895819604,42222.60934029514,70326.21004343854,233198.56054510275,-6094.919595469459,116508.80849250202,18576.744955762464
18,197511.53715633095,22423.35988809071,88961.69873601862,51780.78577141033,22783.411290593853,107075.97363059211,16028.359578025804
19,271868.8812822822,42358.261228558724,35200.12161026712,173541.26613083156,8967.152067089919,120178.44121364312,16288.786589651922
20,230567.10485375568,33205.458083038044,44558.46658251347,71913.9139353623,105511.2605621338,123784.64446719462,18540.28359566319
21,136365.921041984,62446.90221271443,75482.81638466631,10072.236776236634,1233.5994611247152,115787.62487873915,18469.485871703597
22,244945.5270394797,45573.73520809214,75637.68273191334,77273.14517005385,24949.434289598896,106899.11999937514,19232.894325529953
23,208174.01812176203,37734.388840899046,88607.832466833,41095.03840171156,36120.260226205166,114769.58000427141,17723.236924731507
24,191511.74942827807,10340.793663237127,93480.83536203319,188035.909837923,55222.23038713614,120828.29962551687,19356.588117799838
25,170321.77060609125,33970.331536884914,49344.42694712535,-17479.748910712122,99933.70913357846,115545.98415357896,17878.99966687322
26,194542.23433618224,59265.58349592899,34087.65285779748,176712.87755304866,88011.18691026894,109075.75052188238,19692.517031956944
27,234635.35450369667,62568.14260445727,57168.582784315804,113708.86450729321,46309.575961872004,108991.44115536768,22447.452741584973
28,265796.50420737825,67004.88343825907,35830.63240438324,60287.45573749143,564.4136206082476,106648.8538332397,20476.43072865426
29,101308.03147579706,76300.66247688397,76105.98548169044,82220.29131332124,62950.21315712703,124154.53059541443,20782.161103111663
30,215575.52337649977,2250.588801285441,74626.52591911715,95206.00488647417,22150.26998057688,109700.59799550904,22161.70423008286
