,ppo_eval,ppo_train_before,ppo_train_after,random_eval,random_train,strategy_eval,strategy_train
0,48786.5440634173,35917.11650388918,41412.0157180939,13726.014775923439,34162.716169331194,18222.750908812042,31838.552874171117
1,25215.41460837383,45001.04182019329,38382.35004564357,32137.28431441568,22394.032418865987,19435.153944685735,31622.518213758944
2,64301.37380859285,3046.3337874349672,72224.09426887202,20706.206169025652,14772.622923989315,21307.6343720124,32957.75366784961
3,59823.82484390214,-4520.932760970987,52896.56857759223,9640.644145037964,18299.29022863516,20459.132415443863,30282.945670422356
4,82106.68758211471,40432.937688749545,41824.722889844794,53787.33166136642,33284.551567662274,17337.427030067585,31849.24633116898
5,48851.62256508187,55837.97762735636,27244.709358472843,14089.509936200426,-2202.6522587450017,20220.24832401838,29815.250809170582
6,66770.44137570009,23844.610933258446,37703.04007979497,62511.919695810066,35590.08706439764,18429.955963564615,31469.854307564092
7,45748.48387254318,7446.367262058702,25603.446997755615,12803.554604668418,6212.044470334076,17061.1968118862,32250.221967947757
8,50369.04354739265,18565.68250406452,43060.667852035695,-36675.1437901075,30012.741341037836,16398.58906591998,32301.70138022228
9,49368.77722867392,-9024.782408141065,48063.14803885872,598.8533358348359,23866.41196240108,22878.804997914194,30865.53095747011
10,18756.662194626668,-2692.422265844609,34152.14069489026,-9055.834982436761,53603.96754635635,19410.79186396787,32158.8624934135
11,42079.72010170488,18990.165466476537,54422.05232344306,15527.60433719636,18342.758203244535,20826.934973940282,31375.721913101443
12,18247.089911693736,60170.3860577335,64713.44375519248,48011.86253467543,50103.64415823502,10018.055009619813,29762.26447136233
13,54890.307845568255,22729.85749379963,75272.98506007146,-5171.014690779804,7294.96355449417,20838.219715544707,31538.473829270893
14,28733.049092078363,15850.714461046431,36426.41259872174,12922.043971160849,17332.494119072595,15824.430288154967,33205.77228994295
15,49202.80110691089,-7842.977475277323,50466.356176045025,107507.72032809147,26699.582177267774,26378.471019832403,29184.301768627483
16,55670.55804121931,7326.69582654188,40157.61282646234,67465.23039105276,18190.598739372814,11866.667323583257,31644.098469941673
17,39059.838476242905,6200.752850072182,24191.298146090485,41719.54510350534,51395.602572219126,10185.357688081553,30575.980875332156
18,64093.50859309858,-3252.364368887793,43306.011166439246,95174.61696715059,64235.96574789315,19208.746279115745,29612.118316602573
19,36564.54129075041,24410.432648737464,34420.755846433254,24881.11683401758,46192.0129235581,17193.716453900415,30981.091181507974
20,81756.01150597222,57602.357412538695,32504.82411673636,-6322.365317693868,33125.47065079538,13271.776966676174,32593.27228995072
21,60321.866288534075,3302.11529483294,31000.87156331564,9628.502352554555,-2456.6854316952085,17715.79313327001,31099.45626582019
22,62955.170849143586,-1349.8974652869074,63280.12668120046,6190.482809813242,55205.16990939443,12530.773672295065,32371.35275122756
23,15623.537855718314,3697.4333394713613,35392.46051118773,6477.929484240856,22623.263387472718,17716.11672411603,32060.210791395628
24,67317.4229004535,40257.9988603105,27649.9241113693,-13460.624990758297,15953.962292705852,12405.128628349281,32237.275527936174
25,62544.06400181452,44443.341345318215,50514.0971824576,3229.2078923498048,18594.41264948038,19770.449526126496,32451.03985915752
26,25085.203153762544,22246.114647277704,34830.95636511943,63486.904273198306,70926.8136836919,10283.52475817065,33312.49327232377
27,26600.9730259613,40095.47176798596,34462.77918913821,52452.562123910495,12660.023299243418,20057.383672602402,31637.94301470378
28,50069.45492282332,29330.85073495496,41220.13698204071,57448.89576369207,29583.756257158355,13496.82473451826,30098.123009728733
29,40204.22685114463,22454.557479052266,62602.237306982395,6021.383380027357,20815.20365174474,24441.121788870674,30728.40981091866
30,6669.236681410679,-17217.83964499997,58833.44043975198,32191.05450873403,8185.425557520299,15786.354705568025,32521.603088613832
31,-2501.2397956145433,34032.095164873695,37354.094650447165,-5023.224330666708,10916.427880533127,16802.622802725688,33462.15181540151
32,62750.95402922077,23456.3795416255,44857.88147960557,23512.651729676814,10412.298401082953,18158.61287125363,33244.550830646476
33,49844.01375839379,25312.965653132618,42217.996028885536,21713.857322592623,16842.084486759588,22138.462450590014,32321.565726078057
34,2947.3228863408003,33161.430370298214,19805.846446159965,-1781.4660650528967,-16777.884684011267,19192.66036882554,31322.301089647925
35,33877.213339675014,12745.668096413327,47489.95128538017,6847.7512974636775,-7769.187316632888,14313.221328680302,31598.08785823197
36,29021.20517383593,38355.01833022668,51816.03690829716,17838.766167306734,34132.76527485726,17919.918459342065,30886.955694305798
37,35585.81256900847,10853.07874929515,49800.45610186318,14738.298475138101,26542.830571090424,17631.861423747832,31888.860019582557
38,90148.07853806243,7701.9813008891215,42235.12450308219,106630.01046855375,29321.62931358625,20399.685603756938,32093.763201552298
39,27454.298144036948,30883.712371280068,42072.31826549955,56761.31811343666,25124.63505825805,11598.49519255507,31075.004304371134
40,24010.354860298714,15800.36404053097,43544.07231845445,39528.23042866521,15731.66934458213,19969.85850272188,32857.376106924086
41,38910.32285166564,52577.280836797436,56993.569157216116,-9647.678601286214,31202.922860769613,14544.827740493085,31336.348509214877
42,27169.978473146854,22547.976152611256,35242.91806844546,36015.67702798455,16386.11299941354,18670.75673356722,32720.280385984865
43,47136.79732350609,34794.28126224756,43021.09795065294,71990.90237369898,57293.110686816886,18157.734268818007,31399.587715862493
44,63337.3765477823,31890.19873998931,40817.26569553558,98791.1754528073,13658.50842650373,15739.120080548848,31536.887785897532
45,9592.364998195,25512.960989953383,28010.75634011581,-13645.736207087859,11536.204240188716,14611.089781110713,34235.029518791154
46,65391.748716978764,-4910.999105887357,40213.86961965478,49371.598065289494,28871.14319229001,20934.80956249271,30980.552210567665
47,56282.94028257267,9735.517143452962,40408.31058048055,24698.604703918507,21204.497382740126,14630.072222815099,31636.925215608848
48,66151.52158063865,26098.150219090676,44832.4511168841,32318.24090725486,27441.090347453486,19749.606817986816,32382.412903789605
49,49017.042298157176,45826.65652925658,27583.11218043555,71887.6861634609,43898.269261222624,12747.490370038606,29916.395805146574
50,27682.597997559948,7249.164443164831,35256.54016872315,-13206.983456554415,23259.773884000853,24710.562591573005,31777.15782377805
51,23529.017332519943,-8480.685509010684,41442.980034573004,73892.46874523547,7890.687495666745,13205.354929962341,32477.501960638037
52,46259.8738866277,41981.579054567526,55066.778106471786,-8675.310783649984,-8431.969758036445,23691.823324950383,30279.166994487605
53,76623.2665663109,28648.976707659618,36989.88595261448,28036.717603792466,38567.32913804939,13096.581759761568,30927.817686523646
54,38427.64018532194,18448.569131438067,43505.49428496437,20050.53737416082,9720.64477500334,23331.81934506641,31108.399780504493
55,63986.729467043246,-6652.049116862938,39773.81989353517,20585.114762996935,-4149.3344574855,19601.550737439553,29035.432951518713
56,27441.605433059725,25845.13581011996,45579.926383350685,-7946.47307075953,10086.36797958998,18433.86200037533,31983.65165769105
57,46470.86545703199,37809.55367944506,41411.85050279531,-1965.5808429440076,29311.944944202332,16422.137491394475,32239.459561105643
58,19396.92330202942,11545.7574021451,42011.2279420089,-10384.906217003198,36520.17843168118,19260.946857853633,32884.33234724641
59,52590.338230291614,6389.755650680789,45503.20348208677,33996.49976982619,14780.007792559409,21246.03550384901,31227.720805041696
60,842.9773102065228,44952.63635597465,47168.872479117796,-2841.061587932214,31206.73028322193,20253.672385436483,33303.80903415161
61,76018.60594051977,41546.60005796538,26862.66170590301,-19875.91213569908,19676.891280213735,15275.444938938992,31549.719586210675
62,57204.16201499518,13023.994624173094,33125.51761377585,43745.13769933529,1105.9613639145828,19842.537795434677,33310.88002962162
63,33168.02821222265,13478.653929158885,19439.94548277442,8442.804502786981,32721.992173278413,18787.200239888276,32363.98284446288
64,40117.06618479383,56498.52937767212,28545.805536126558,38756.07313971163,13188.334335012478,16270.331338103948,32897.687799066596
65,18786.708878325808,40734.81624402272,39410.875584065536,45346.717231962335,11929.835510596648,23017.32916964979,32504.40965583606
66,15247.792999827463,18901.227085391452,31668.31863363413,-3632.460078936405,22670.67828121454,20128.661827562042,30223.81708678468
67,22769.907303421656,14956.7806668595,60191.41482866366,67078.86619701044,57760.106329948874,16274.829314928284,30487.07812200382
68,66090.17003751875,52045.903450332204,38626.95223533598,58586.091777677444,49056.98995591368,25737.81063521013,32010.44011712511
69,29511.10272294507,28334.27044438047,56235.20454953218,17783.213648505567,-7658.324875629711,18141.971646777485,31289.470791894593
70,121719.95240153527,28862.568077238975,49387.4240652693,-16680.447951125694,13473.781591370906,16568.428617296202,31387.55512456782
71,86863.68562469023,28167.815060770357,24705.120798182994,5621.2749563467805,30206.275043801565,16850.926896282224,33409.40991138539
72,8484.543198258514,6878.9867591933,45077.51563770842,63028.65394870803,22894.438452251343,17846.26199472438,32624.459299493115
73,40374.500194912456,-4769.512054656501,62985.36393977067,44715.34342256203,-952.499298211711,16052.223021989194,32936.67021276607
74,39019.49133459426,30174.798635884013,33105.7815266815,28940.308443848466,40663.708697271504,20021.72254724134,32383.279107283364
75,7620.988078463939,10687.76910332778,30513.146960538113,-332.9656950462959,7102.950632576903,19162.530127459788,30585.940482301885
76,18324.690392151577,56495.018692043406,27295.35281883317,-6764.276955634079,56631.38886319261,16249.396440845143,32900.17537200492
77,39130.31349943424,71080.9059470965,40190.73314039322,577.5063539518887,4041.8401626583654,19489.374932725666,30561.40876234282
78,3570.815419123639,23946.55422496285,32796.24430953839,13607.416188126386,28895.93000357281,16086.91885568494,32707.987281649665
79,46911.78359592077,9025.732778576232,49034.873909115675,10789.124993257617,20094.08199517589,23658.937595002106,31089.95717059361
80,35713.62252864946,-11433.282389009168,29160.4403567994,36741.69295389703,2303.3297765815078,19662.66599560011,32090.37247273326
81,43347.28196523333,12963.99491747281,67982.07164986484,13711.821671231039,15658.2564562708,17643.870040674636,33141.92252926825
