,ppo_eval,ppo_train_before,ppo_train_after,random_eval,random_train,strategy_eval,strategy_train
0,55297.72508156259,23649.949874963262,24275.021301289205,38990.29080259579,16837.605583059412,19653.91273186305,22090.1484359662
1,44756.70457552682,46006.01888229497,30957.935588249893,37988.65973070322,9986.525795356472,26966.2166960841,21223.1918633405
2,32277.87364240989,20661.385002442184,11214.639240763587,-15147.175586495898,14657.580065947783,23867.04938171807,19434.37738277497
3,134500.3471557776,16292.874825111183,43333.48693638982,11521.184184650716,13578.891654878462,24728.24848350398,20477.014778326207
4,21439.164683433657,8900.420074791371,45306.359929868195,48877.92467883104,19445.42038253587,25827.256489411186,21622.58155076034
5,44426.5179715862,37245.73065727914,34522.936588070035,25198.012166152024,29103.255458431086,21583.623536657324,21303.085847856302
6,35885.31176626278,28585.67900986655,24644.406603456853,56780.88644547446,31929.14731796994,25097.76008654182,19417.538030696465
7,78819.64818851321,17808.401694518514,53066.516055779706,35611.59529294373,39594.016626456636,22872.78256404301,20935.36734284232
8,63508.195686037885,28453.92937326533,40643.386511128396,37706.42140200318,47358.53280776099,17145.33827435093,21362.683820003498
9,44330.986670924816,28946.58519294689,19502.42746032239,64067.55095106829,13661.35821744692,22046.369033696785,19069.834358862514
10,93514.69228471018,40222.88951741587,45641.23023994136,79806.62024257786,37852.17073578999,23729.863677367728,20307.734481672305
11,123539.79685697102,19749.482669035424,44471.00896414221,50773.316946168605,9798.112873267135,19913.00956357269,19996.535532854206
12,80329.57980785225,31408.958034896787,40389.967337439564,43245.61887439966,16625.46137511368,23659.91549572145,20317.152584270705
13,54229.50778660842,29444.271066794085,40073.362733313,15540.730006654441,57179.146502861055,21954.421132686024,19556.58404897437
14,85724.19371460588,38321.605312663014,20676.88903531368,55270.60487621938,24349.723670731822,23257.70243594628,21103.301094174894
15,16002.34348206986,15691.93410249197,53579.55057911927,18685.3024289803,17187.76796871143,24466.099711706775,22049.212211996273
16,64875.67317890201,17224.63155069713,35248.587840460124,47622.40535663755,36565.800075658044,21108.265386440005,22811.270950103193
17,97158.89950134823,25480.42276566397,59347.872087343974,34770.68895241298,37414.16537254091,24117.699172285123,20806.5547893966
18,46442.331641139375,40385.437458941014,26957.660253761205,22458.820617030855,17846.663775010937,24020.408437422884,19589.001866173305
