,DQN before,DQN eval,dummy
0,8.0,82.0,16.0
1,9.0,77.0,13.0
2,11.0,77.0,25.0
3,10.0,81.0,18.0
4,8.0,81.0,27.0
5,10.0,77.0,40.0
6,10.0,76.0,28.0
7,10.0,78.0,37.0
8,10.0,73.0,25.0
9,9.0,81.0,16.0
10,9.0,81.0,51.0
11,8.0,79.0,26.0
12,10.0,83.0,12.0
13,11.0,75.0,24.0
14,8.0,77.0,30.0
15,10.0,83.0,19.0
16,9.0,75.0,18.0
17,10.0,85.0,18.0
18,10.0,77.0,34.0
19,9.0,81.0,27.0
20,11.0,77.0,13.0
21,8.0,80.0,52.0
22,9.0,76.0,17.0
23,9.0,73.0,13.0
24,8.0,81.0,10.0
25,9.0,81.0,34.0
26,8.0,78.0,21.0
27,10.0,79.0,12.0
28,8.0,85.0,29.0
29,8.0,79.0,19.0
30,10.0,78.0,14.0
31,9.0,77.0,17.0
32,9.0,77.0,15.0
33,9.0,71.0,19.0
34,10.0,83.0,22.0
35,10.0,77.0,12.0
36,10.0,73.0,16.0
37,10.0,81.0,11.0
38,8.0,79.0,35.0
39,9.0,81.0,14.0
40,8.0,80.0,37.0
41,10.0,75.0,11.0
42,10.0,77.0,28.0
43,10.0,76.0,40.0
44,10.0,75.0,17.0
45,9.0,74.0,23.0
46,9.0,80.0,29.0
47,9.0,80.0,59.0
48,10.0,82.0,11.0
49,10.0,79.0,36.0
50,10.0,83.0,32.0
51,11.0,77.0,13.0
52,10.0,80.0,14.0
53,9.0,77.0,29.0
54,9.0,71.0,17.0
55,10.0,81.0,14.0
56,10.0,79.0,17.0
57,9.0,83.0,45.0
58,9.0,82.0,13.0
59,9.0,77.0,15.0
60,9.0,76.0,14.0
61,11.0,71.0,24.0
62,9.0,80.0,24.0
63,9.0,75.0,40.0
64,9.0,82.0,14.0
65,10.0,79.0,18.0
66,9.0,79.0,56.0
67,9.0,76.0,10.0
68,8.0,79.0,12.0
69,10.0,82.0,15.0
70,8.0,81.0,38.0
71,10.0,79.0,24.0
72,9.0,79.0,9.0
73,10.0,78.0,33.0
74,10.0,74.0,20.0
75,9.0,76.0,11.0
76,9.0,81.0,19.0
77,10.0,79.0,21.0
78,9.0,85.0,16.0
79,9.0,74.0,24.0
80,8.0,83.0,23.0
81,10.0,79.0,29.0
82,10.0,79.0,30.0
83,9.0,73.0,12.0
84,10.0,75.0,14.0
85,9.0,79.0,38.0
86,9.0,76.0,31.0
87,8.0,81.0,17.0
88,9.0,85.0,11.0
89,10.0,79.0,19.0
90,9.0,72.0,16.0
91,9.0,73.0,40.0
92,10.0,83.0,32.0
93,9.0,75.0,14.0
94,9.0,81.0,27.0
95,10.0,81.0,28.0
96,8.0,87.0,11.0
97,9.0,77.0,18.0
98,9.0,78.0,20.0
99,9.0,83.0,10.0
