,DQN before,DQN eval,dummy
0,10.0,500.0,34.0
1,10.0,500.0,9.0
2,9.0,500.0,17.0
3,11.0,500.0,17.0
4,9.0,500.0,16.0
5,10.0,500.0,9.0
6,10.0,500.0,15.0
7,9.0,500.0,56.0
8,10.0,500.0,13.0
9,10.0,500.0,21.0
10,10.0,500.0,36.0
11,9.0,500.0,18.0
12,9.0,500.0,60.0
13,9.0,500.0,50.0
14,9.0,500.0,21.0
15,9.0,500.0,10.0
16,10.0,500.0,20.0
17,10.0,500.0,19.0
18,9.0,500.0,14.0
19,10.0,500.0,17.0
20,9.0,500.0,37.0
21,10.0,500.0,20.0
22,9.0,500.0,10.0
23,10.0,500.0,22.0
24,10.0,500.0,18.0
25,8.0,500.0,21.0
26,9.0,500.0,25.0
27,9.0,500.0,18.0
28,10.0,500.0,19.0
29,9.0,500.0,43.0
30,10.0,500.0,19.0
31,9.0,500.0,38.0
32,10.0,500.0,35.0
33,9.0,500.0,14.0
34,10.0,500.0,15.0
35,9.0,500.0,14.0
36,9.0,500.0,22.0
37,9.0,500.0,21.0
38,9.0,500.0,83.0
39,9.0,500.0,18.0
40,10.0,500.0,11.0
41,10.0,500.0,12.0
42,9.0,500.0,11.0
43,10.0,500.0,11.0
44,9.0,500.0,51.0
45,9.0,500.0,16.0
46,10.0,500.0,13.0
47,10.0,500.0,11.0
48,9.0,500.0,24.0
49,10.0,500.0,67.0
50,9.0,500.0,57.0
51,9.0,500.0,26.0
52,10.0,500.0,13.0
53,10.0,500.0,18.0
54,8.0,500.0,16.0
55,8.0,500.0,14.0
56,10.0,500.0,26.0
57,10.0,500.0,22.0
58,10.0,500.0,19.0
59,9.0,500.0,10.0
60,9.0,500.0,18.0
61,9.0,500.0,9.0
62,8.0,500.0,12.0
63,11.0,500.0,16.0
64,10.0,500.0,19.0
65,9.0,500.0,18.0
66,9.0,500.0,16.0
67,10.0,500.0,17.0
68,11.0,500.0,9.0
69,9.0,500.0,14.0
70,10.0,500.0,15.0
71,8.0,500.0,18.0
72,11.0,500.0,29.0
73,9.0,500.0,21.0
74,9.0,500.0,25.0
75,9.0,500.0,36.0
76,9.0,500.0,31.0
77,8.0,500.0,14.0
78,9.0,500.0,12.0
79,9.0,500.0,10.0
80,8.0,500.0,10.0
81,10.0,500.0,14.0
82,10.0,500.0,46.0
83,9.0,500.0,39.0
84,11.0,500.0,29.0
85,8.0,500.0,18.0
86,9.0,500.0,22.0
87,9.0,500.0,54.0
88,9.0,500.0,29.0
89,10.0,500.0,22.0
90,10.0,500.0,13.0
91,8.0,500.0,13.0
92,9.0,500.0,25.0
93,10.0,500.0,15.0
94,10.0,500.0,17.0
95,9.0,500.0,13.0
96,8.0,500.0,17.0
97,10.0,500.0,16.0
98,10.0,500.0,16.0
99,10.0,500.0,14.0
