,DQN before,DQN eval,dummy,Optimization agent
0,-100.0,2320.0843685269356,-667.9831997156143,2383.10459703207
1,-100.0,2030.4937590360641,-117.98319971561432,3029.717840194702
2,-100.0,2252.0625383853912,-100.0,2627.1887480020523
3,-100.0,2272.049105286598,-300.0,3995.8012667894363
4,-100.0,1670.2872560620308,-326.5042026042938,1638.6205664873123
5,-100.0,1537.7079068422318,-367.9831997156143,2574.6476697921753
6,-100.0,1837.3359285593033,-300.0,3437.156165957451
7,-100.0,1134.5237595438957,-138.0,3058.609793007374
8,-100.0,2062.4956225156784,-100.0,2896.5412971377373
9,-100.0,1935.8999131917953,-510.0,2050.9037638902664
10,-100.0,1501.1794936656952,-109.0,3231.5109183192253
11,-100.0,1236.458323776722,-600.0,2827.6717955470085
12,-100.0,2010.3321312069893,-100.0,2337.2732325196266
13,-100.0,1015.4761596918106,-633.0,2243.3930042386055
14,-100.0,2186.9167264699936,-106.62457883358002,2545.82631033659
15,-100.0,2367.7594799995422,-131.49270641803741,2556.0330760478973
16,-100.0,2040.6548466682434,-300.0,2910.6426389217377
17,-100.0,1492.8535721302032,-634.0,3376.452866256237
18,-100.0,1363.2637097239494,-100.0,1879.1856189370155
19,-100.0,1920.4364599585533,-100.0,2116.1469740867615
20,-100.0,1397.487358391285,-260.7894138097763,3156.7171315550804
21,-100.0,2096.692342400551,-340.0,3239.4120343327522
22,-100.0,2107.1822223067284,-300.0,3294.4360327124596
23,-100.0,1681.9082468152046,-600.0,3190.4074672460556
24,-100.0,1815.4070048332214,-600.0,2417.374211847782
25,-100.0,1911.3785556554794,-510.0,3156.082067489624
26,-100.0,591.9941279292107,-355.04814016819,3541.3278262019157
27,-100.0,2180.8708831071854,-117.98319971561432,2767.0381712317467
28,-100.0,2167.401052772999,-180.0,3442.64459335804
29,-100.0,2045.559232056141,-475.91821479797363,2098.022803902626
30,-100.0,1881.5700439810753,-600.0,2410.38331925869
31,-100.0,1709.0263895392418,-510.0,2788.0343364477158
32,-100.0,1730.8434700965881,-340.0,2079.8530344963074
33,-100.0,974.9256743788719,-108.50420260429382,3352.2683385014534
34,-100.0,1031.34818983078,-600.0,3342.564866542816
35,-100.0,2134.374062180519,-105.0,3117.5264660716057
36,-100.0,-119.620396733284,-300.0,3370.0703528523445
37,-100.0,2634.483669936657,-100.0,2594.093641400337
38,-100.0,1752.158621788025,-300.0,2765.8756937384605
39,-100.0,1964.854541361332,-133.0,3176.6442471146584
40,-100.0,1438.3486623167992,-357.854354262352,2457.573222696781
41,-100.0,2066.790756523609,-620.0,2608.407775223255
42,-100.0,871.8273597359657,-300.0,2249.403835475445
