,DuelingDDQN before,DuelingDDQN eval,dummy
0,16.0,160.0,21.0
1,10.0,171.0,18.0
2,9.0,167.0,23.0
3,8.0,174.0,14.0
4,10.0,166.0,17.0
5,8.0,183.0,28.0
6,10.0,181.0,26.0
7,10.0,182.0,13.0
8,10.0,180.0,11.0
9,10.0,180.0,9.0
10,10.0,174.0,13.0
11,17.0,180.0,19.0
12,17.0,187.0,10.0
13,8.0,179.0,21.0
14,10.0,177.0,11.0
15,9.0,175.0,11.0
16,9.0,169.0,47.0
17,8.0,171.0,19.0
18,9.0,182.0,71.0
19,10.0,188.0,40.0
20,9.0,179.0,18.0
21,20.0,183.0,70.0
22,9.0,166.0,21.0
23,10.0,187.0,16.0
24,15.0,170.0,19.0
25,11.0,183.0,38.0
26,10.0,167.0,26.0
27,9.0,177.0,24.0
28,9.0,165.0,16.0
29,13.0,178.0,11.0
30,10.0,182.0,35.0
31,14.0,180.0,18.0
32,19.0,170.0,79.0
33,10.0,180.0,28.0
34,10.0,171.0,11.0
35,14.0,184.0,10.0
36,10.0,183.0,35.0
37,11.0,176.0,15.0
38,9.0,178.0,11.0
39,20.0,177.0,27.0
40,8.0,182.0,21.0
41,9.0,171.0,42.0
42,16.0,167.0,12.0
43,10.0,173.0,20.0
44,9.0,177.0,11.0
45,10.0,156.0,19.0
46,14.0,164.0,27.0
47,16.0,176.0,14.0
48,10.0,171.0,13.0
49,21.0,171.0,13.0
50,10.0,177.0,13.0
51,8.0,175.0,21.0
52,13.0,175.0,20.0
53,9.0,167.0,18.0
54,9.0,173.0,21.0
55,10.0,183.0,27.0
56,16.0,184.0,16.0
57,21.0,158.0,22.0
58,10.0,181.0,31.0
59,8.0,183.0,20.0
60,25.0,175.0,15.0
61,10.0,184.0,9.0
62,9.0,168.0,17.0
63,20.0,184.0,31.0
64,10.0,169.0,36.0
65,19.0,174.0,18.0
66,11.0,173.0,11.0
67,10.0,169.0,14.0
68,13.0,186.0,16.0
69,16.0,180.0,21.0
70,8.0,177.0,11.0
71,10.0,171.0,18.0
72,10.0,172.0,45.0
73,10.0,181.0,30.0
74,8.0,174.0,25.0
75,10.0,184.0,15.0
76,13.0,186.0,23.0
77,9.0,171.0,17.0
78,9.0,175.0,25.0
79,8.0,188.0,18.0
80,10.0,188.0,17.0
81,11.0,178.0,19.0
82,9.0,173.0,10.0
83,9.0,185.0,32.0
84,21.0,196.0,14.0
85,11.0,158.0,19.0
86,24.0,168.0,13.0
87,9.0,180.0,33.0
88,10.0,159.0,19.0
89,21.0,168.0,10.0
90,22.0,171.0,19.0
91,14.0,184.0,15.0
92,10.0,181.0,19.0
93,9.0,178.0,25.0
94,8.0,180.0,25.0
95,10.0,185.0,17.0
96,9.0,168.0,34.0
97,10.0,189.0,13.0
98,18.0,164.0,14.0
99,12.0,182.0,19.0
