random,PPO after,AC after,VPG after,baseline
-600.0,4995.012583851814,4380.1162789464,4998.7435510754585,5545.643869876862
-100.0,3017.8503371477127,5410.529226601124,4914.8595750927925,4828.064609706402
-300.0,5182.218396961689,4663.663686156273,5112.381403505802,5954.826048672199
-620.0,5244.106293320656,4242.726146936417,4560.873212754726,5816.801329135895
-118.0,5383.744797468185,4915.914885938168,4443.410006761551,5708.404644429684
-600.0,5950.805491328239,3932.74129986763,4649.671497583389,6158.279457509518
-600.0,5183.478530347347,4529.725295603275,4003.3725016117096,5823.821154296398
-180.0,5160.986999452114,5127.624768674374,4686.852914094925,5244.507375538349
-600.0,2874.4176154732704,4198.184565126896,4420.480239808559,6369.192481935024
-131.0,5747.078981518745,3948.9737159609795,5290.767905712128,5423.372053384781
-643.0,4746.9702743291855,4303.330408513546,4264.906557381153,6305.224622964859
-165.9933214187622,5765.948569893837,3835.874616384506,5063.479494154453,4615.9791405797005
-600.0,5498.900921881199,4414.879587590694,4913.64424353838,5055.921800255775
-143.0,5891.029601812363,4730.86853903532,5298.457248926163,5595.497205257416
-600.0,4793.72660779953,5211.204019546509,3999.68825930357,5580.410606086254
-247.94334650039673,5016.5202515125275,5236.5404723882675,4923.39002263546,5272.451865851879
-547.9433465003967,4606.357008039951,4456.929253578186,5558.564157247543,6146.77888071537
-102.35284948348999,5121.525356411934,4910.244618952274,5216.526128351688,4528.329878568649
-157.0,5684.349284410477,4324.153001010418,4648.196539580822,4502.932298243046
-300.0,5479.183572590351,4330.018095433712,4590.103897094727,5334.923583209515
-300.0,5770.806363940239,4456.970123827457,4098.691777765751,5500.24395519495
-190.28094387054443,5926.520285189152,4694.006580352783,4701.665023684502,5094.671871364117
-502.00358629226685,5197.17063421011,4990.647141575813,4754.3531321287155,5694.927033782005
-100.50614809989929,5213.672678411007,4464.877370595932,4470.18611907959,5985.921776354313
-120.0,4938.036114394665,4503.259596824646,4703.471171677113,4535.240002036095
-300.0,5457.513691961765,3835.5322257876396,4524.833913385868,5454.282967805862
-180.0,5511.784689068794,4719.097207546234,4665.468866288662,6170.2788044810295
-117.4994695186615,5118.088077783585,4750.37852627039,4657.936781048775,5651.180958688259
-600.0,5286.517323434353,4442.848408639431,4778.907015264034,5657.00301194191
-100.0,5466.574880063534,4989.742820739746,4122.320248305798,5825.654318034649
-455.6255384683609,5185.288591504097,4716.688628971577,4699.3119777441025,5370.629172027111
-300.0,5234.811626911163,4849.802818119526,4560.7327247262,4917.623521506786
-131.0,4558.504677474499,4612.8125765919685,5017.500438988209,5755.039650976658
-510.0,5732.812534689903,4314.597255885601,4757.138365507126,4847.158943712711
-100.0,5054.259982347488,4674.8787942528725,4969.539528369904,5587.815414488316
-299.8961064815521,5579.21469527483,4618.914272069931,4938.048551917076,5421.970627009869
