random,PPO after,AC after,VPG after,baseline
-112.0,492.95881938934326,-113.54310238361359,-81.26070010662079,-100.2260856628418
-300.0,621.0390638709068,-108.05013346672058,-84.30481392145157,-104.45423424243927
-135.0,457.0999974012375,-137.0,-70.02424317598343,-141.32488971948624
-360.0,412.1449748277664,1628.3257046341896,-67.25415372848511,-111.79454523324966
-100.0,654.4908396601677,-103.75202876329422,-64.70023441314697,-102.75202876329422
-300.0,629.5882151126862,-100.26825952529907,-79.99014508724213,-102.75202876329422
-118.0,259.2135755419731,-126.48376923799515,-79.6140478849411,-119.00185126066208
-300.0,502.10311102867126,-119.52662348747253,-71.81314301490784,-102.75202876329422
-100.0,629.4008084535599,1085.28582072258,-83.01634067296982,-113.26825952529907
-100.0,678.1825469732285,1240.3329302668571,-83.16252934932709,-102.75202876329422
-100.0,418.10775315761566,-103.1752051115036,-85.52879875898361,-115.76089310646057
-119.58099085092545,568.8969938158989,1447.054206252098,-69.33080059289932,-122.72249376773834
-128.0,581.9650582671165,1147.0553848743439,-71.82376909255981,-134.03925222158432
-515.0,194.45206302404404,-107.38442713022232,-71.68900644779205,-105.38933074474335
-107.46900594234467,393.27137088775635,-112.27057015895844,-65.67956775426865,-134.81828320026398
-290.0,645.7097624540329,-113.86698806285858,-75.93745028972626,-103.11997300386429
-600.0,704.8022946119308,-123.69897896051407,-68.00937235355377,-110.43120968341827
-112.0,623.9466921687126,1213.6364893317223,-81.04486799240112,-124.05200695991516
-290.0,617.2932347655296,-119.93800348043442,-77.61586105823517,-113.41948390007019
-172.89100688695908,530.8767594695091,-116.14022052288055,-83.13412976264954,-126.50550955533981
-100.0,530.0893751382828,-118.16891741752625,-68.7821135520935,-108.60558331012726
-319.89187371730804,532.9389166235924,-109.26825952529907,-78.01659101247787,-138.96723848581314
-300.0,548.6202109456062,-115.06446009874344,-77.68816512823105,-103.62294691801071
-112.0,458.26625591516495,-105.82408022880554,-76.50538724660873,-115.3615728020668
-620.0,738.4293363690376,-110.54740881919861,-78.31255358457565,-106.65268665552139
-600.0,476.1647419333458,-107.5250352025032,-71.6672335267067,-102.75202876329422
-135.0,614.1149979233742,1490.4316502809525,-66.45144361257553,-119.01079779863358
-109.47851204872131,615.1655411124229,832.0601821541786,-68.84761172533035,-101.58295494318008
-375.0,243.60648828744888,-173.75414788722992,-71.2763876914978,-129.3823601603508
-117.0,508.3488764166832,1569.6579230427742,-84.18219447135925,-124.13852441310883
-147.0,469.9074547290802,-120.84850752353668,-76.05003815889359,-117.6027734875679
-126.58099085092545,515.4199873209,-126.48376923799515,-70.02767783403397,-117.09522241353989
-600.0,539.912437915802,-104.49456703662872,-58.85220521688461,-117.99890178442001
-518.2944081425667,492.89902114868164,-135.0647600889206,-61.49006646871567,-104.90524244308472
-100.0,337.1294386982918,-119.82408022880554,-68.18639731407166,-106.0871707201004
-142.0,604.8464505672455,-103.44807928800583,-69.2433493733406,-112.16846233606339
-300.0,598.3955848813057,-101.30348461866379,-76.54492592811584,-120.14022052288055
-150.0,578.6642611026764,-109.26825952529907,-75.08042401075363,-124.05200695991516
-300.0,713.1686583161354,-124.60373318195343,-70.14494520425797,-103.62294691801071
-143.96723848581314,427.1418655514717,-124.89871788024902,-75.42455410957336,-119.01079779863358
-300.0,416.0031005144119,808.5003622174263,-60.01026523113251,-103.65075951814651
-300.0,520.0721973776817,-101.0647600889206,-78.5138407945633,-102.75202876329422
-100.0,439.34233689308167,-126.48376923799515,-72.35140305757523,-141.0
-290.0,417.2145267724991,-132.6329978108406,-76.84545838832855,-113.26825952529907
-578.2016259431839,663.4360828399658,-104.8689392209053,-69.88217061758041,-110.11750519275665
-100.0,523.8218996524811,-107.33301961421967,-76.62584567070007,-102.75202876329422
-102.07177221775055,592.3722970485687,-116.84925037622452,-75.66240513324738,-104.45423424243927
-160.0,478.6224447488785,-103.75202876329422,-81.08998513221741,-125.82109302282333
-300.0,459.1717015504837,1228.2099583148956,-67.9667341709137,-140.9686428308487
-635.0,525.676758825779,543.6501793265343,-77.05394768714905,-116.8632704615593
-135.0,300.63690888881683,-103.75202876329422,-80.45319974422455,-102.75202876329422
-172.0,228.54011058807373,1261.4065275788307,-83.04560875892639,-102.68178021907806
-100.0,595.7590315937996,-117.55582070350647,-80.79266214370728,-126.11686486005783
-513.0,483.6588571667671,-105.38442713022232,-77.48924857378006,-102.75202876329422
-150.0,637.3037840127945,-114.94773763418198,-60.465499341487885,-116.15122437477112
-252.24429732561111,300.72151535749435,478.98746383190155,-71.7108998298645,-111.96131354570389
-600.0,503.36902302503586,-125.65574014186859,-56.447680830955505,-109.38442713022232
-300.0,585.89371997118,286.0495709180832,-100.0,-127.04087841510773
-360.0,706.2863874435425,-122.11676704883575,-64.36736053228378,-110.483469247818
-100.0,774.8230209946632,584.2173972129822,-62.65894252061844,-122.57782536745071
-620.0,753.8789038658142,-106.33301961421967,-67.38373690843582,-113.16483199596405
-147.0,503.0041052699089,578.520126760006,-65.48127591609955,-102.75202876329422
-142.0,696.6855679750443,-104.8689392209053,-75.64053785800934,-137.3986701965332
-600.0,759.456028521061,551.6018432378769,-74.31121301651001,-141.0
-131.0,324.3075941205025,1144.1568673849106,-81.74853110313416,-103.86789637804031
-128.0,514.8628813624382,-137.0,-71.83630686998367,-107.08414894342422
-122.30243891477585,727.2763935923576,-122.20626300573349,-68.27652806043625,-108.49456703662872
-100.0,622.5868565440178,72.34523850679398,-82.93434149026871,-105.47264069318771
-101.0,556.0469558238983,657.8425444960594,-74.98304218053818,-102.06796604394913
-200.0,563.8898153305054,-103.75202876329422,-79.47073763608932,-141.7659628391266
-100.0,533.8297241926193,-102.16891741752625,-110.0,-115.42147320508957
-149.0,519.8487085103989,-137.75202876329422,-94.47991812229156,-118.84158623218536
-300.0,660.6381390690804,-115.27831447124481,-80.89355373382568,-125.63285410404205
-300.0,397.5819327235222,794.0518091320992,-72.70531094074249,-115.4497863650322
-300.0,512.4076055288315,-106.33301961421967,-77.13098913431168,-108.86551582813263
-100.0,634.8520193696022,-112.64406597614288,-82.0071359872818,-113.53577619791031
-256.3373237848282,500.23353630304337,-117.67763477563858,-70.28291964530945,-100.72884219884872
-171.0,593.5411696434021,-126.48376923799515,-72.03375172615051,-102.75202876329422
-603.0,651.6533580422401,-105.8689392209053,-61.38896697759628,-105.96612060070038
-118.0,519.3334987163544,-137.0,-72.40364396572113,-102.75202876329422
-600.0,512.1431883573532,-109.15551447868347,-74.68846046924591,-113.97744309902191
-600.0,459.2154048681259,-110.0705651640892,-71.78483074903488,-124.31909269094467
-654.5809908509254,881.2433165311813,-114.93986004590988,-67.76900029182434,-114.49434518814087
-103.0,684.5800038576126,-113.97714567184448,-77.52877169847488,-114.82750821113586
-300.0,687.2848700284958,-100.26825952529907,-71.23601388931274,-136.7414954304695
-112.79620057344437,549.2521671056747,-124.0893525481224,-70.36493039131165,-105.70977675914764
-100.0,485.290702521801,1423.0261503458023,-69.83752501010895,-116.92396795749664
-108.82109302282333,724.5136637091637,-102.6329978108406,-61.97306543588638,-117.06869196891785
-200.0,526.1825976967812,793.9941034317017,-71.12254333496094,-118.97714567184448
-600.0,360.2128949165344,892.742438018322,-94.07494336366653,-119.90065789222717
-135.0,553.3095224499702,-134.21520972251892,-79.32040685415268,-109.6239897608757
-150.0,537.7750809192657,509.61912673711777,-69.16871505975723,-113.45722144842148
-118.0,535.4128924608231,-109.3138182759285,-78.85422682762146,-140.37765657901764
-131.3373237848282,582.7032519578934,-106.05087631940842,-61.8556444644928,-104.49314475059509
-600.0,603.5531002283096,-106.79823869466782,-76.03681606054306,-106.65268665552139
-142.0,518.979335308075,762.9347955584526,-70.88860720396042,-113.53577619791031
-100.0,373.4173280596733,1003.2166047692299,-71.95070916414261,-109.82408022880554
-600.0,345.76611453294754,-124.31839299201965,-56.31443917751312,-112.38157427310944
-600.0,636.1484392881393,-117.27718383073807,-92.20724785327911,-133.09405612945557
-300.0,614.1527923345566,275.7720260024071,-84.11872380971909,-130.48376923799515
-100.0,697.8929451704025,1408.4237998723984,-65.87743771076202,-130.48376923799515
-360.0,525.4333569407463,-129.09405612945557,-77.369808614254,-118.97714567184448
-492.31001603603363,473.4008871912956,1148.804042160511,-71.41181427240372,-104.99001044034958
-101.0,631.5831581354141,-106.33301961421967,-72.83467507362366,-101.76068007946014
-367.0,726.5644687414169,-103.75202876329422,-77.41809695959091,-100.09878951311111
-600.0,469.78488647937775,-126.48376923799515,-82.56239795684814,-115.76089310646057
-175.0,786.7390741705894,-137.75202876329422,-80.09042346477509,-110.79823869466782
-600.0,541.601697742939,-100.26825952529907,-71.08800959587097,-110.483469247818
-340.0,496.071161031723,-126.48376923799515,-76.0087177157402,-113.26825952529907
-556.3373237848282,592.6203482747078,1470.5969892144203,-66.93599396944046,-112.20626300573349
-103.0,444.72640120983124,825.9416819214821,-95.8889679312706,-115.3615728020668
-100.0,529.531381547451,-101.383176445961,-72.18183553218842,-109.2681348323822
-140.0,345.92117500305176,-100.75202876329422,-100.0,-112.1943616271019
-620.0,526.6272493600845,-121.74090021848679,-70.5259495973587,-109.84112048149109
-100.0,457.24455696344376,-104.8689392209053,-75.8031604886055,-113.26825952529907
-100.0,367.0229711532593,-113.60246789455414,-70.93123304843903,-113.53577619791031
-108.0,475.84319776296616,-123.25363290309906,-69.22929495573044,-114.82750821113586
-140.0,563.8020617961884,-104.6239897608757,-79.4909240603447,-107.08414894342422
-600.0,493.01227247714996,985.7762241363525,-58.69973361492157,-105.82079303264618
-120.0,372.2436165213585,-113.94667345285416,-69.65808355808258,-105.91713845729828
-620.0,627.8952241539955,-124.11097002029419,-64.94203644990921,-103.04792153835297
-100.0,631.1544350385666,-102.05549955368042,-83.08859461545944,-100.2260856628418
-124.58099085092545,797.8888487815857,1880.023445904255,-63.226209819316864,-102.75202876329422
-176.95529609918594,421.84584879875183,1408.1663618683815,-67.46411180496216,-118.18152683973312
-116.58099085092545,557.3886350393295,-185.95365470647812,-73.68013310432434,-113.53577619791031
-102.0,698.5928655266762,-100.75202876329422,-78.80994313955307,-102.75202876329422
-109.90914702415466,557.5874461531639,-123.35678052902222,-72.14458042383194,-111.1158122420311
-113.33732378482819,546.9693868756294,-100.26825952529907,-68.94080036878586,-101.07766193151474
-300.0,339.86007273197174,-100.33533024787903,-55.2016259431839,-101.80160355567932
-600.0,514.7473121881485,-101.63116252422333,-74.47865092754364,-122.57782536745071
