PPO before,AC before,random,PPO after,AC after,baseline
-100.0,-600.0,-360.0,2909.4108807444572,1077.6139599084854,2073.3415991067886
-300.0,-100.0,-600.0,-102.70953714847565,2260.3548104166985,2761.8465629816055
-105.0,-600.0,-100.0,3409.0388895869255,2087.1679604649544,2524.0775008797646
-600.0,-154.00848841667175,-100.0,-122.94028806686401,1989.7071059942245,2014.8056066036224
-118.49955326318741,-600.0,-119.0,3502.2968621253967,1856.271789610386,2491.3719019293785
-221.50548934936523,-135.69877469539642,-217.11681866645813,4517.51627099514,1743.3401211500168,2286.8164145946503
-144.12243008613586,-600.0,-620.0,4169.61126023531,2021.8603041172028,2480.845365524292
-283.00848841667175,-100.0,-360.0,3652.7794886231422,-100.45191609859467,2253.8772279024124
-221.50548934936523,-200.0,-282.53238260746,3411.0214337706566,2711.7161053419113,-150.1868281364441
-100.0,-510.0,-100.0,2802.8682656884193,2395.9941915273666,3138.650141298771
-200.0,-126.69877469539642,-620.0,4484.264577150345,1843.3191649913788,2239.2534336447716
-100.0,-113.0,-600.0,3715.935988485813,2531.1545932888985,2823.270442008972
-126.50548934936523,-615.0,-100.0,3942.30935049057,2150.881124675274,2140.252952337265
-290.0,-290.0,-300.0,4593.711761832237,1682.0988404154778,2603.289889395237
-100.0,-300.0,-600.0,4732.607286930084,2194.2725228071213,-117.18161046504974
-226.0706901550293,-665.0,-196.07334554195404,-107.99912691116333,-165.04875302314758,2470.095367193222
-100.0,-600.0,-600.0,4814.188317835331,2020.6776994466782,-117.32676124572754
-112.07334554195404,-236.5329465866089,-100.0,3038.0597663521767,1513.0624986886978,-109.0
-300.0,-127.22312390804291,-627.2056213617325,4598.988023757935,2121.392578601837,2472.379579424858
-131.0,-200.0,-173.05724143981934,4529.343128919601,2423.6438186764717,2867.6014453172684
-600.0,-100.0,-150.0,-107.46743303537369,1779.8113752007484,1411.4353237748146
-185.62542915344238,-600.0,-105.0,-106.67202496528625,2579.3795001506805,-101.97540748119354
-107.20562136173248,-100.0,-115.0,4523.366058766842,1312.5353283286095,2210.914005637169
-100.0,-600.0,-300.0,2713.230801463127,-114.10712498426437,-101.74571764469147
-553.4970009326935,-553.4970009326935,-151.40010678768158,3295.136105298996,-109.35482180118561,2729.131698191166
-107.0323241353035,-200.0,-172.0,2630.7619863152504,1604.5665494799614,2456.188085436821
-503.66030633449554,-333.00848841667175,-100.0,2564.475749731064,2323.037168264389,1890.6176835894585
-104.0,-290.0,-135.0,4674.062699973583,1486.049214720726,2302.8595609664917
-300.0,-300.0,-121.76871359348297,-150.23832136392593,2043.8713129162788,2484.3881047964096
-600.0,-300.0,-100.0,3760.1859689354897,1425.5435491800308,2318.869546890259
-105.62473928928375,-557.2056213617325,-360.0,3458.2720539569855,2056.7458597421646,-114.49163222312927
-31.361844301223755,-237.20562136173248,-341.97540748119354,4567.807729661465,1563.5175344944,2879.0548369288445
-100.0,-356.3968960046768,-665.0,4275.225503444672,1508.1297851800919,2028.193768441677
-100.0,-600.0,-135.0,-102.78961497545242,2265.241270363331,2376.535729765892
-123.92466020584106,-600.0,-101.03843104839325,-119.60583317279816,586.6516756415367,1854.9789410233498
-185.62542915344238,-600.0,-364.0,3555.3310245871544,2214.2221373915672,-109.0
-300.0,-521.5054893493652,-100.0,3219.3582377433777,2044.2773005962372,-108.87099558115005
-100.0,-104.0818339586258,-221.50548934936523,4687.089446723461,1926.7433974146843,1905.6168370246887
-171.0,-600.0,-431.181028842926,4107.832096338272,1769.1979522109032,2214.5706941485405
-300.0,-600.0,-165.0,4813.4381982684135,1764.3104749321938,1280.032996416092
-100.0,-333.00848841667175,-300.0,-117.82497471570969,-106.24144512414932,2018.7301670312881
-146.0,-600.0,-365.0,1861.7947327494621,1744.1738638281822,-101.97540748119354
-137.0639669895172,-140.0,-171.0,3150.6046221852303,-106.97519958019257,1232.3474692702293
-100.0,-221.50548934936523,-300.0,2572.30282831192,1870.02830940485,1946.096320271492
-100.0,-162.49700093269348,-113.82376217842102,-125.9127910733223,2570.849559724331,2806.243362545967
-100.0,-184.49700093269348,-522.2056213617325,4527.525790512562,1542.9411544799805,2132.669111430645
-5.78786164522171,-505.0685815811157,-115.9838958978653,-159.58447855710983,1595.9337248802185,2709.9563696980476
-120.0,-108.00848841667175,-615.0,4047.732091665268,1169.217332303524,2364.075441837311
-523.9911069869995,-179.0407475233078,-665.0,4198.60387301445,1809.3471449613571,3393.232976734638
-153.49700093269348,-100.0,-100.0,2613.347858607769,2231.5201241374016,1705.3722723722458
-140.0,-600.0,-300.0,2720.282792568207,-140.8773386478424,-117.32676124572754
-100.0,-100.0,-300.0,2836.979255616665,1618.09084379673,2108.7401371002197
-300.0,-600.0,-355.0,3409.7702083587646,1752.696897983551,1564.265250325203
-127.20562136173248,-118.0,-140.15563195943832,3455.604311943054,2477.254990696907,2358.9220329523087
-237.20562136173248,-600.0,-638.0084884166718,2780.652595758438,1102.1142451167107,2911.486236989498
-300.0,-106.56281757354736,-300.0,4480.504964768887,1379.7389251589775,2545.847301840782
