PPO before,AC before,VPG before,random,PPO after,AC after,VPG after,baseline
-100.0,-345.0,-140.47240841388702,-360.0,2909.4108807444572,1786.7054248452187,1460.9215103387833,2073.3415991067886
-300.0,-510.0,-600.0,-600.0,-102.70953714847565,1257.6480596661568,1104.8916211128235,2761.8465629816055
-105.0,-142.0,-129.59303486347198,-100.0,3409.0388895869255,1843.1721923351288,2252.7458848953247,2524.0775008797646
-600.0,-131.0,-665.0,-100.0,-122.94028806686401,1322.2500322461128,2353.090886592865,2014.8056066036224
-118.49955326318741,-153.49700093269348,-608.4970009326935,-119.0,3502.2968621253967,2637.986866772175,2040.266535282135,2491.3719019293785
-221.50548934936523,-537.2056213617325,-333.00848841667175,-217.11681866645813,4517.51627099514,1544.481522321701,2139.628392636776,2286.8164145946503
-144.12243008613586,-375.32676124572754,-648.5630922317505,-620.0,4169.61126023531,1658.7986803650856,1606.8518871068954,2480.845365524292
-283.00848841667175,-600.0,-140.0,-360.0,3652.7794886231422,1431.2821611166,2114.2554111480713,2253.8772279024124
-221.50548934936523,-340.0,-180.0,-282.53238260746,3411.0214337706566,1673.08638048172,1674.2783371210098,-150.1868281364441
-100.0,-620.0,-290.0,-100.0,2802.8682656884193,2126.997467160225,1581.22557669878,3138.650141298771
-200.0,-521.5054893493652,-100.0,-620.0,4484.264577150345,1123.811635196209,1095.2918596863747,2239.2534336447716
-100.0,-220.0,-221.50548934936523,-600.0,3715.935988485813,2342.380343079567,1646.0439567565918,2823.270442008972
-126.50548934936523,-112.0,-300.0,-100.0,3942.30935049057,1410.4903907179832,1183.0344179272652,2140.252952337265
-290.0,-510.0,-109.2250428199768,-300.0,4593.711761832237,-132.05075216293335,1096.8976230025291,2603.289889395237
-100.0,-557.2056213617325,-665.0,-600.0,4732.607286930084,1389.6357493400574,1923.404621720314,-117.18161046504974
-226.0706901550293,-510.0,-600.0,-196.07334554195404,-107.99912691116333,1580.8868580460548,1628.5015823245049,2470.095367193222
-100.0,-102.0,-100.0,-600.0,4814.188317835331,1590.0243279337883,1705.2429003119469,-117.32676124572754
-112.07334554195404,-333.00848841667175,-290.0,-100.0,3038.0597663521767,1506.6544812321663,1754.3142350316048,-109.0
-300.0,-112.0,-300.0,-627.2056213617325,4598.988023757935,1140.5462688803673,1836.9373875260353,2472.379579424858
-131.0,-140.0,-237.20562136173248,-173.05724143981934,4529.343128919601,2028.0614185929298,1196.043349981308,2867.6014453172684
-600.0,-300.0,-310.5630922317505,-150.0,-107.46743303537369,-111.20118796825409,1934.0597059130669,1411.4353237748146
-185.62542915344238,-104.32676124572754,-600.0,-105.0,-106.67202496528625,1919.3149206638336,-137.58250838518143,-101.97540748119354
-107.20562136173248,-510.0,-600.0,-115.0,4523.366058766842,1515.8012977838516,1723.8534609675407,2210.914005637169
-100.0,-131.0,-165.0,-300.0,2713.230801463127,1224.8622655272484,1931.423907995224,-101.74571764469147
-553.4970009326935,-340.0,-300.0,-151.40010678768158,3295.136105298996,940.6288838982582,2197.4422720074654,2729.131698191166
-107.0323241353035,-510.0,-157.88985347747803,-172.0,2630.7619863152504,1742.5494433045387,1743.1689916849136,2456.188085436821
-503.66030633449554,-600.0,-109.97540748119354,-100.0,2564.475749731064,1487.8353902697563,1266.9766373634338,1890.6176835894585
-104.0,-510.0,-160.5630922317505,-135.0,4674.062699973583,1503.9335698485374,1800.5288156867027,2302.8595609664917
-300.0,-300.0,-333.00848841667175,-121.76871359348297,-150.23832136392593,2026.0600914359093,2576.4385733008385,2484.3881047964096
-600.0,-600.0,-361.07334554195404,-100.0,3760.1859689354897,1626.3984489440918,1411.5233255028725,2318.869546890259
-105.62473928928375,-146.0,-361.07334554195404,-360.0,3458.2720539569855,1929.4971189498901,2424.3562830090523,-114.49163222312927
-31.361844301223755,-600.0,-121.0,-341.97540748119354,4567.807729661465,-124.53448182344437,2013.588715314865,2879.0548369288445
-100.0,-300.0,-146.0,-665.0,4275.225503444672,1144.7408115267754,1700.7806184887886,2028.193768441677
-100.0,-171.0,-120.0,-135.0,-102.78961497545242,2396.460034072399,1438.1770929694176,2376.535729765892
