ppo,ac,random,baseline
4442.483656346798,4307.619626164436,-100.0,5452.861512362957
4392.465495586395,4241.62431704998,-112.0,4807.934025943279
3252.194873034954,3352.3346849679947,-138.0,4938.513868927956
4298.664736390114,3455.0676668286324,-100.0,4518.7731857299805
4285.531894981861,3498.648715734482,-600.0,4162.613892018795
2780.4651307463646,-100.63685554265976,-373.2610090970993,5261.178377628326
4242.334995865822,3245.2602204084396,-128.5871822834015,4764.779887735844
4342.773377895355,3262.6924236416817,-135.0,4811.189698278904
4719.147154569626,3030.4831671714783,-365.0,4714.776550650597
3783.0151639580727,3988.876124739647,-303.9639269709587,5825.5417785048485
-100.0,2947.8102994561195,-126.26178687810898,4935.988113641739
4988.196824014187,3062.1481496095657,-100.0,4166.700241804123
4035.6854711174965,3157.8781975507736,-132.0,-100.24266338348389
4745.0613313913345,3855.9943372011185,-603.9639269709587,5529.320369780064
4437.996656417847,-103.0,-140.0,4968.1138862371445
3902.1445982456207,3471.2847132086754,-100.0,5261.9387775063515
4397.531347990036,3991.587572157383,-188.5871822834015,4799.970539331436
4493.932065010071,3878.36404889822,-300.0,4284.876249909401
2697.356599867344,3187.038974940777,-600.0,5703.964350938797
3734.9360456466675,3685.454787671566,-135.0,5454.937908053398
4064.2041596770287,2953.9012471437454,-123.2610090970993,4649.7753294706345
4804.338426053524,-120.41767656803131,-180.0,4899.508737921715
4596.979163944721,3617.358797609806,-600.0,3586.3419929146767
4580.808948814869,3827.55582511425,-600.0,4441.5301268696785
4803.640541732311,3659.9749187231064,-600.0,5717.9991465210915
4715.516688704491,2915.222496807575,-135.0,4301.433499157429
4293.701014816761,-117.87851119041443,-108.55886900424957,4728.810483753681
4077.111465752125,3295.082963526249,-157.0,4948.938984453678
4695.533072292805,3106.288034796715,-510.0,4700.8245190382
4749.894466161728,3516.663871586323,-600.0,4820.116892337799
4287.463389515877,3664.263876378536,-630.7029178738594,4942.1236358881
4118.16468667984,-112.75912725925446,-135.0,5009.956794798374
3609.987221598625,3652.7596901655197,-123.0,5523.772198498249
3637.232099175453,-113.86394274234772,-600.0,4355.489733695984
4538.622460246086,2895.0608598589897,-112.0,4687.902835845947
4583.591636359692,-107.4760811328888,-123.2610090970993,4313.428598105907
4447.996842384338,-111.89690136909485,-131.0,5516.913856625557
4785.839613378048,2636.9773077964783,-290.0,4513.700241446495
4819.151864171028,3093.5899345874786,-131.0,5350.187991976738
4387.943400382996,3102.1007623672485,-163.2610090970993,4796.853701531887
4384.393088340759,3078.7295573949814,-140.0,5118.132945537567
4611.366972744465,3214.7807971835136,-600.0,4796.480928838253
4760.760002374649,3720.204684972763,-130.7029178738594,4890.34884250164
4554.486793458462,3459.731414616108,-113.7029178738594,4346.493283212185
-100.0,3595.013603448868,-300.0,3838.7164056897163
4822.022631764412,3242.9394347071648,-340.0,5126.143996357918
4109.844450652599,3330.2633276581764,-155.2610090970993,4772.347126185894
4630.8245685100555,2570.371275126934,-300.0,4376.161784529686
4365.765217363834,3202.699076294899,-100.0,4567.351964235306
4203.219096720219,3306.5640848875046,-600.0,3947.650854766369
3220.281523168087,4146.143113851547,-300.0,4345.167721927166
4581.3803017139435,3533.89089936018,-100.0,4386.058851182461
-111.58718228340149,3795.3014691472054,-157.0,4475.898776590824
3428.4183915257454,3836.193301796913,-300.0,5173.55564391613
4930.991550862789,3251.6193910837173,-180.0,4483.794631779194
5102.148972690105,2587.2018407583237,-213.5871822834015,4947.669410467148
3671.9557089209557,3585.775110781193,-600.0,-103.0
3484.4377447366714,3704.4444267749786,-115.0,4223.7018657922745
3860.4125747680664,3059.24248200655,-620.0,4992.7540647387505
4258.225082039833,3417.279653787613,-100.0,4625.400998055935
4163.981892764568,3012.809168815613,-150.0,4533.889112532139
4139.542767941952,3462.313540697098,-146.2610090970993,5660.039678275585
5034.7817152142525,3451.163537323475,-600.0,5489.130505144596
3973.519876897335,3835.6249995827675,-100.0,5445.61822617054
4365.447394728661,3076.9619030952454,-103.96392697095871,4265.883122622967
4755.819353699684,4247.115547537804,-148.2610090970993,5856.24772387743
4780.637173831463,3416.298286318779,-171.0,5294.021953046322
4792.68413233757,3843.7772406339645,-100.0,5141.467338323593
4939.054409563541,4053.6625824570656,-120.7029178738594,-102.08954411745071
3941.900348365307,3259.481401205063,-200.0,3940.978207588196
3891.4320320487022,3418.742023587227,-112.0,4001.971403300762
4027.4066564440727,3209.9994800686836,-620.0,4980.147186458111
4417.291429102421,3039.357486844063,-665.0,4267.06438344717
4014.099532365799,2908.456091403961,-600.0,4402.674465119839
4700.119092285633,2807.46336132288,-304.0,4048.4894729852676
4457.372728228569,3114.3933244347572,-116.81987810134888,4705.3120903372765
5047.780265688896,3628.754293680191,-620.0,3951.834325313568
4588.566698849201,3437.5629082918167,-600.0,-103.0
4156.14305472374,2272.35910820961,-199.84218734502792,5137.69850641489
4466.548866569996,3053.0796478390694,-136.8481913805008,5223.447710514069
3745.6247017383575,2971.9265553355217,-600.0,-103.0
4296.579349160194,-103.0,-123.55886900424957,4616.460290789604
4939.246897995472,3116.2036907076836,-128.2610090970993,5163.486650645733
3842.6340514421463,3670.2345494031906,-330.7029178738594,5130.386086523533
3404.5407826304436,3266.5327447652817,-128.5871822834015,4965.3284776210785
4220.86304974556,3622.0772236585617,-100.0,4455.016109347343
3369.4075946211815,3225.282078266144,-600.0,4396.266008257866
4310.1707500219345,3227.000945866108,-300.0,4638.098378300667
4388.688966751099,3805.606817126274,-600.0,4681.083039999008
4785.607626676559,4008.747579038143,-133.0,4472.577989578247
4492.143162727356,3959.6739817857742,-100.0,4645.004109978676
4914.485895395279,3553.116529762745,-135.0,4745.352652609348
4118.520349800587,3533.1929975152016,-200.0,4366.928824543953
2968.7572286129,3443.874750494957,-155.0,4930.6386550068855
4971.147864699364,3193.263597548008,-340.0,4428.253630459309
4423.907604277134,3323.179570555687,-142.0,3946.002141416073
3556.8969457149506,3226.3085945248604,-300.0,-103.0
4854.662590503693,3431.923642873764,-147.0,4700.990781009197
4428.38537222147,4375.400245130062,-100.0,4614.060557723045
4205.8568705916405,2770.5000987052917,-300.0,5504.328693449497
4113.118277192116,3862.818255484104,-100.85804516077042,4672.692886412144
4074.3741700053215,3184.0286791324615,-300.0,4906.813529610634
4456.312334656715,3376.425624012947,-600.0,4507.998308062553
4543.109032332897,3843.7136045098305,-112.0,4844.258943676949
4482.709705710411,3027.925246179104,-135.0,5571.47292137146
4107.770619869232,4164.972330927849,-300.0,4178.168945193291
4423.075220584869,3558.258741557598,-100.0,5215.883821606636
3732.962481558323,4042.5213138461113,-128.0,4213.213288664818
3437.4246706962585,3625.137109220028,-173.2610090970993,4451.73307466507
4648.4056876301765,3230.5466774106026,-115.0,4202.726541936398
4402.228584587574,2772.1425449848175,-100.0,3973.705613553524
4827.130177855492,3646.416486978531,-603.9639269709587,4790.537692189217
-105.0,3513.9356420636177,-300.0,5122.459554553032
4973.84726279974,3408.9915789961815,-171.0,4242.118708848953
4694.916710317135,3164.200983464718,-138.0,4975.826997697353
4081.351294338703,3497.9551881551743,-300.0,4830.1507722735405
4985.824704706669,3429.8719809651375,-600.0,4644.350739061832
