ppo,ac,random,baseline
1989.9018443226814,-103.0,-100.0,-105.58592355251312
2070.797821700573,-68.73546212911606,-150.0,-104.46663224697113
-100.1815779209137,-103.0,-304.0,-141.4065841436386
1750.255759716034,-72.14883226156235,-300.0,-139.19296324253082
1529.1003168225288,3.9806631207466125,-524.2170244455338,-117.26515591144562
835.3707196712494,-40.2504358291626,-100.0,-100.39683258533478
1915.8375819325447,-80.28562039136887,-100.0,-123.01497256755829
768.3271811008453,-51.08048987388611,-130.0,-100.05012249946594
1746.6037812232971,-49.88298010826111,-300.0,-101.84359848499298
1611.2962312698364,-63.70006626844406,-201.25711584091187,-119.82516896724701
904.094810128212,-103.0,-620.0,-111.15177965164185
1753.8800225257874,91.84480273723602,-100.0,-113.30236828327179
1256.1030886173248,-36.68189615011215,-100.0,-113.7322473526001
1845.4168693423271,-42.62688648700714,-112.0,-146.73446667194366
1669.996059536934,-57.68966501951218,-180.0,-118.2475403547287
2032.7860714793205,-103.0,-600.0,-135.8099354505539
1570.2867212891579,-51.98208266496658,-300.0,-109.49551379680634
884.871744632721,-54.90071219205856,-607.6056391000748,-121.48278570175171
1593.5297506451607,-39.319921016693115,-510.0,-132.78721702098846
1681.4203469753265,-47.146925032138824,-600.0,-119.33788645267487
1587.56223654747,-103.0,-291.0,-121.9138252735138
1802.3766094446182,-6.97960090637207,-300.0,-110.98220694065094
1559.4523245692253,-72.2102125287056,-600.0,-146.73446667194366
1597.5824414491653,-103.0,-114.0,-102.59291100502014
-118.22099089622498,-103.0,-148.0,-112.14319789409637
1732.4532229304314,-103.0,-100.0,-132.45950174331665
1763.5776066184044,-103.0,-100.0,-102.0
828.347652554512,-46.39371299743652,-140.0,-116.59073007106781
670.390441775322,-62.10029882192612,-169.59291100502014,-116.24995958805084
823.3186821937561,-65.68953663110733,-600.0,-106.25566101074219
2021.5146255493164,-103.0,-135.0,-119.33788645267487
1870.1706646084785,-55.08279764652252,-128.0,-158.65580904483795
832.0623012781143,-70.58038991689682,-600.0,-104.21952986717224
