ppo,ac,random,baseline
3676.031838476658,1570.2287645339966,-112.0,-115.23575341701508
3091.3200605511665,-116.11672627925873,-171.0,2331.788281619549
3839.91259098053,1678.9512996077538,-132.96189069747925,2320.0160591602325
3593.5466881394386,973.7310046553612,-600.0,2708.028991520405
4202.013978421688,1402.1144217252731,-100.0,1981.8720607757568
-109.39474356174469,1399.3085790276527,-108.0,3081.701143860817
3955.3930755257607,1378.2607693076134,-319.4031015634537,2633.3706238865852
3949.9363446235657,-124.05513405799866,-135.59213829040527,1178.5961150527
3311.345435678959,-107.15449512004852,-600.0,2318.783955693245
3691.494952917099,-128.60646760463715,-113.0,2553.6023233532906
2877.201610147953,-142.90072798728943,-108.44396364688873,2231.21685642004
4520.9821962714195,866.662463247776,-600.0,2982.1564062833786
4292.609055399895,1638.303189277649,-119.51986050605774,2608.274090349674
3407.704421401024,-103.3291107416153,-157.0,1931.4525938034058
3441.5434279441833,-118.25706022977829,-100.0,2437.6061280965805
3677.1374935507774,531.1333684921265,-157.0,-130.7061190009117
3628.94011002779,1349.8178861737251,-108.0,3798.088323235512
3838.5972653627396,1463.566799044609,-660.0,1912.420791566372
3759.646171569824,788.896931707859,-300.0,1285.0160890817642
3537.3306577801704,1524.7284576296806,-616.1357734203339,2271.056158900261
3719.578904390335,-108.34079217910767,-332.96189069747925,1633.3045947551727
3606.6080988645554,760.7908970713615,-178.8475124835968,2294.22135668993
2909.157529592514,1619.9260862469673,-144.0,1789.1900666952133
2587.5608465075493,935.7466495633125,-668.5540289878845,2225.701920390129
3497.110334813595,1244.8431148529053,-117.0,2719.1764296889305
3559.1384236216545,1379.5719155073166,-107.96189069747925,1422.9115843176842
4229.194738209248,1741.1577290296555,-171.0,1806.2459390163422
3444.3413638472557,1894.6227688789368,-220.0,2319.8082849383354
3920.471888780594,1747.5535435080528,-300.0,1889.091560304165
2944.6256083250046,-121.08173871040344,-340.451208114624,2990.0904244184494
3657.2597101926804,943.9944779872894,-600.0,2885.893506526947
3663.475407898426,-105.80239474773407,-332.6046631336212,1860.7721937298775
3599.03698015213,1418.9550783634186,-151.0300464630127,2273.0176352858543
3997.774021089077,-106.62161791324615,-110.59213829040527,2438.010479390621
3782.2059893608093,709.9695137143135,-189.59213829040527,2303.3227431178093
3711.263828396797,1415.444083750248,-360.0,2041.339502453804
3639.7031844854355,1993.035566687584,-157.0,2170.8256873488426
3761.7826269865036,1937.905887901783,-159.0,2181.809549152851
3932.405513525009,1344.3139882683754,-144.0,1598.5344942212105
4214.5060821175575,1108.6459508538246,-131.0,2163.8285672664642
3948.1437695026398,-113.94343852996826,-290.0,1779.800731062889
2739.2574795484543,-128.11718690395355,-132.71334385871887,2265.5776411294937
3561.6885003447533,1377.3066399097443,-131.0,1300.3121016025543
